instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.599,0.029,2.782,1.4,2.507,472.6
medium10,0.004,0.623,0.022,2.569,1.4,1.899,479.4
medium2,0.009,0.627,0.029,2.367,3.0,9.581,567.4
medium3,0.005,0.709,0.022,2.393,2.6,5.239,608.201
medium4,0.014,0.675,0.02,2.882,2.4,8.703,644.802
medium5,0.004,0.568,0.018,2.712,2.0,7.547,577.8
medium6,0.009,0.572,0.022,2.11,1.4,6.716,498.4
medium7,0.004,0.616,0.031,2.401,3.2,6.952,672.802
medium8,0.014,0.6,0.022,2.242,2.0,5.589,667.208
medium9,0.01,0.593,0.025,2.163,2.4,4.035,615.002
small1,0.001,0.751,0.003,0.221,2.2,16.117,203.4
small10,0.01,0.718,0.003,0.232,1.4,4.128,137.8
small11,0.001,0.748,0.003,0.23,1.8,8.247,216.4
small12,0.001,0.82,0.003,0.204,2.0,33.498,138.0
small13,0.001,0.792,0.003,0.288,2.6,13.227,198.8
small14,0.001,0.756,0.003,0.225,2.6,33.438,151.201
small15,0.002,0.705,0.002,0.224,1.4,21.863,148.4
small16,0.002,0.818,0.007,0.233,1.2,0.44,161.4
small17,0.001,0.851,0.003,0.197,1.8,3.675,252.464
small18,0.002,0.803,0.003,0.197,1.2,0.686,186.4
small19,0.002,0.639,0.003,0.255,1.8,14.325,102.0
small2,0.005,0.741,0.003,0.211,1.4,5.98,197.8
small20,0.001,0.735,0.003,0.21,1.6,5.395,155.0
small3,0.001,0.822,0.003,0.203,1.8,9.616,144.8
small4,0.001,0.683,0.007,0.198,3.0,19.824,99.4
small5,0.006,0.822,0.003,0.211,1.6,19.967,165.2
small6,0.001,0.798,0.003,0.211,3.0,8.301,173.8
small7,0.001,0.671,0.003,0.237,1.6,8.476,127.8
small8,0.001,0.66,0.003,0.217,1.0,0.0,124.2
small9,0.001,0.674,0.003,0.213,2.4,16.108,239.8
verySmall1,0.001,0.108,0.001,0.05,1.0,0.0,0.8
