instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.007,0.515,0.016,2.782,1.0,0.0,677.4
medium10,0.008,0.344,0.02,2.569,3.2,2.596,1084.828
medium2,0.006,0.533,0.017,2.367,1.4,0.044,817.615
medium3,0.004,0.47,0.012,2.393,1.4,0.207,871.647
medium4,0.006,0.336,0.024,2.882,2.4,0.481,1121.02
medium5,0.009,0.317,0.021,2.712,2.2,6.708,762.8
medium6,0.007,0.383,0.013,2.11,2.0,26.184,850.0
medium7,0.006,0.468,0.016,2.401,2.0,1.501,916.231
medium8,0.004,0.342,0.028,2.242,1.4,0.541,785.21
medium9,0.006,0.337,0.022,2.163,2.2,0.477,917.635
small1,0.003,0.778,0.002,0.221,1.8,41.141,144.801
small10,0.001,0.677,0.002,0.232,1.2,1.509,245.8
small11,0.001,0.657,0.005,0.23,1.4,2.257,402.011
small12,0.002,0.702,0.003,0.204,2.2,8.446,216.456
small13,0.001,0.675,0.002,0.288,3.0,25.012,235.2
small14,0.001,0.625,0.004,0.225,2.2,15.219,233.218
small15,0.002,0.444,0.003,0.224,1.0,0.0,149.8
small16,0.001,0.604,0.003,0.233,1.2,13.151,217.4
small17,0.003,0.566,0.003,0.197,1.0,0.0,431.516
small18,0.001,0.717,0.005,0.197,1.0,0.0,300.0
small19,0.001,0.669,0.003,0.255,1.0,0.0,69.8
small2,0.001,0.753,0.003,0.211,1.8,3.802,239.2
small20,0.001,0.676,0.003,0.21,2.4,94.97,272.6
small3,0.001,0.723,0.003,0.203,1.0,0.0,179.4
small4,0.001,0.678,0.007,0.198,1.0,0.0,208.4
small5,0.001,0.68,0.003,0.211,2.0,12.19,301.027
small6,0.001,0.374,0.002,0.211,1.0,0.0,168.074
small7,0.001,0.659,0.003,0.237,1.4,5.876,271.615
small8,0.001,0.55,0.003,0.217,1.0,0.0,138.0
small9,0.001,0.675,0.003,0.213,2.0,31.944,207.201
verySmall1,0.001,0.083,0.001,0.05,1.0,0.0,10.4
