instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.007,0.287,0.015,2.782,1.0,0.0,654.8
medium10,0.004,0.276,0.022,2.569,1.6,1.682,1071.823
medium2,0.007,0.295,0.015,2.367,1.2,0.02,779.016
medium3,0.004,0.285,0.011,2.393,1.6,1.989,881.046
medium4,0.006,0.267,0.024,2.882,2.6,0.478,1114.82
medium5,0.009,0.265,0.021,2.712,2.6,7.063,758.2
medium6,0.004,0.28,0.013,2.11,2.0,5.988,878.403
medium7,0.009,0.287,0.017,2.401,2.0,1.71,915.831
medium8,0.004,0.275,0.029,2.242,1.6,0.805,798.409
medium9,0.006,0.267,0.023,2.163,3.0,1.621,906.441
small1,0.001,0.562,0.002,0.221,1.6,70.219,142.401
small10,0.003,0.452,0.002,0.232,1.0,0.0,241.0
small11,0.002,0.471,0.003,0.23,1.2,1.522,402.017
small12,0.001,0.445,0.003,0.204,2.4,7.48,216.441
small13,0.001,0.477,0.002,0.288,2.8,32.579,235.2
small14,0.001,0.391,0.004,0.225,1.8,17.14,254.416
small15,0.001,0.219,0.003,0.224,1.0,0.0,160.0
small16,0.001,0.365,0.005,0.233,1.2,15.982,217.4
small17,0.001,0.368,0.003,0.197,1.4,0.036,435.915
small18,0.001,0.485,0.003,0.197,1.0,0.0,300.0
small19,0.001,0.393,0.003,0.255,1.0,0.0,69.8
small2,0.001,0.54,0.002,0.211,1.8,3.703,239.2
small20,0.001,0.417,0.004,0.21,2.4,97.188,271.6
small3,0.001,0.568,0.003,0.203,1.0,0.0,173.2
small4,0.002,0.397,0.003,0.198,1.0,0.0,166.0
small5,0.001,0.444,0.005,0.211,2.0,12.016,307.024
small6,0.003,0.251,0.002,0.211,1.0,0.0,168.074
small7,0.001,0.431,0.003,0.237,1.8,11.792,250.815
small8,0.002,0.315,0.004,0.217,1.0,0.0,127.0
small9,0.003,0.387,0.004,0.213,2.6,21.347,228.001
verySmall1,0.0,0.085,0.001,0.05,1.0,0.0,10.6
