instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.004,0.862,0.019,2.782,1.0,0.0,566.2
medium10,0.01,0.719,0.021,2.569,2.0,8.46,917.603
medium2,0.004,1.262,0.022,2.367,1.6,2.341,673.808
medium3,0.007,1.277,0.016,2.393,2.0,2.542,820.832
medium4,0.004,0.584,0.023,2.882,1.4,0.965,897.605
medium5,0.004,0.494,0.026,2.712,1.8,1.524,716.8
medium6,0.01,0.906,0.014,2.11,1.8,12.037,762.801
medium7,0.011,0.847,0.021,2.401,4.0,3.845,865.812
medium8,0.008,0.545,0.027,2.242,3.0,5.874,713.203
medium9,0.009,0.604,0.018,2.163,2.4,2.323,840.81
small1,0.001,0.783,0.002,0.221,1.6,34.884,155.601
small10,0.001,0.709,0.002,0.232,1.4,3.019,250.6
small11,0.004,0.585,0.006,0.23,2.2,32.133,241.8
small12,0.002,0.73,0.005,0.204,1.8,7.207,211.231
small13,0.001,0.691,0.002,0.288,2.8,21.497,216.801
small14,0.001,0.692,0.003,0.225,2.4,17.943,225.414
small15,0.001,0.559,0.003,0.224,1.2,1.699,156.0
small16,0.004,0.686,0.003,0.233,1.6,8.403,213.4
small17,0.001,0.679,0.003,0.197,1.8,1.708,333.309
small18,0.001,0.786,0.003,0.197,1.0,0.0,276.6
small19,0.001,0.671,0.005,0.255,1.0,0.0,77.4
small2,0.001,0.797,0.003,0.211,2.0,7.899,203.6
small20,0.001,0.621,0.003,0.21,2.0,19.504,198.8
small3,0.001,0.824,0.003,0.203,1.6,14.962,160.8
small4,0.002,0.744,0.005,0.198,1.8,18.393,157.601
small5,0.001,0.73,0.003,0.211,2.2,8.254,307.022
small6,0.004,0.556,0.002,0.211,1.0,0.0,193.266
small7,0.001,0.816,0.002,0.237,1.2,0.269,224.6
small8,0.001,0.61,0.003,0.217,1.0,0.0,143.2
small9,0.001,0.761,0.003,0.213,3.0,13.995,234.8
verySmall1,0.0,0.079,0.001,0.05,1.0,0.0,10.6
