instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.436,0.023,2.782,1.2,0.42,570.0
medium10,0.008,0.489,0.017,2.569,2.2,7.769,703.603
medium2,0.009,0.484,0.023,2.367,2.6,4.568,684.002
medium3,0.005,0.684,0.022,2.393,1.0,0.0,680.241
medium4,0.007,0.463,0.024,2.882,2.2,6.353,703.602
medium5,0.005,0.44,0.023,2.712,1.8,1.595,698.4
medium6,0.004,0.49,0.02,2.11,1.2,5.658,661.4
medium7,0.004,0.493,0.02,2.401,3.4,5.902,701.407
medium8,0.004,0.444,0.03,2.242,2.6,5.608,671.003
medium9,0.004,0.475,0.022,2.163,2.2,3.148,795.81
small1,0.001,0.695,0.008,0.221,1.8,59.381,160.2
small10,0.002,0.695,0.006,0.232,1.6,4.114,150.4
small11,0.001,0.692,0.003,0.23,2.8,24.844,252.0
small12,0.001,0.728,0.009,0.204,2.2,20.078,192.2
small13,0.001,0.721,0.003,0.288,2.8,21.253,238.2
small14,0.001,0.76,0.003,0.225,2.4,7.303,204.209
small15,0.001,0.552,0.007,0.224,1.0,0.0,162.0
small16,0.001,0.747,0.003,0.233,1.4,15.588,193.6
small17,0.001,0.712,0.003,0.197,1.8,2.028,301.06
small18,0.001,0.774,0.003,0.197,1.6,12.009,221.0
small19,0.005,0.648,0.003,0.255,1.0,0.0,75.0
small2,0.001,0.808,0.006,0.211,1.4,1.61,223.8
small20,0.001,0.666,0.003,0.21,1.8,8.86,196.8
small3,0.001,0.802,0.003,0.203,1.0,0.0,141.4
small4,0.005,0.646,0.003,0.198,1.8,2.43,133.806
small5,0.002,0.783,0.003,0.211,2.8,26.563,240.2
small6,0.002,0.673,0.003,0.211,1.8,9.47,157.232
small7,0.005,0.819,0.002,0.237,1.2,7.979,190.6
small8,0.001,0.655,0.003,0.217,1.2,1.2,162.8
small9,0.001,0.699,0.003,0.213,2.0,15.065,272.2
verySmall1,0.0,0.059,0.001,0.05,1.0,0.0,10.6
