instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.004,0.418,0.022,2.782,1.0,0.0,573.8
medium10,0.004,0.4,0.025,2.569,2.6,3.92,905.411
medium2,0.004,0.524,0.019,2.367,2.4,1.479,686.612
medium3,0.007,0.564,0.016,2.393,2.2,1.265,772.231
medium4,0.014,0.376,0.027,2.882,2.2,2.375,869.405
medium5,0.004,0.366,0.027,2.712,1.4,4.177,766.6
medium6,0.004,0.414,0.017,2.11,2.2,2.476,800.2
medium7,0.007,0.434,0.02,2.401,3.6,4.485,876.607
medium8,0.008,0.377,0.027,2.242,2.8,2.173,764.202
medium9,0.006,0.38,0.027,2.163,1.6,0.255,886.227
small1,0.001,0.793,0.002,0.221,1.6,31.64,155.401
small10,0.001,0.662,0.003,0.232,1.0,0.0,238.4
small11,0.001,0.629,0.003,0.23,2.2,27.563,264.4
small12,0.001,0.715,0.005,0.204,1.6,7.847,214.223
small13,0.002,0.682,0.002,0.288,2.8,25.53,228.4
small14,0.001,0.7,0.003,0.225,1.8,15.258,212.626
small15,0.001,0.518,0.005,0.224,1.4,4.458,152.2
small16,0.004,0.692,0.003,0.233,1.2,0.079,225.4
small17,0.001,0.677,0.003,0.197,2.2,1.499,367.89
small18,0.001,0.779,0.005,0.197,1.4,1.919,275.6
small19,0.001,0.64,0.003,0.255,1.0,0.0,71.0
small2,0.005,0.774,0.007,0.211,2.4,4.405,223.4
small20,0.002,0.636,0.003,0.21,1.8,31.214,185.4
small3,0.001,0.795,0.003,0.203,1.2,15.769,158.0
small4,0.001,0.733,0.005,0.198,2.2,22.886,158.801
small5,0.001,0.729,0.003,0.211,2.2,5.907,304.019
small6,0.001,0.56,0.003,0.211,1.2,0.139,167.27
small7,0.001,0.783,0.002,0.237,1.4,5.077,237.205
small8,0.001,0.623,0.005,0.217,1.0,0.0,152.0
small9,0.001,0.741,0.002,0.213,2.8,27.189,240.8
verySmall1,0.0,0.084,0.001,0.05,1.0,0.0,10.4
