instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.004,0.438,0.024,2.782,1.6,3.657,511.4
medium10,0.009,0.449,0.022,2.569,1.2,0.379,505.8
medium2,0.01,0.438,0.024,2.367,2.2,51.563,495.6
medium3,0.009,0.439,0.028,2.393,4.4,7.258,563.201
medium4,0.005,0.462,0.032,2.882,2.6,7.581,659.001
medium5,0.009,0.447,0.023,2.712,1.6,6.817,557.8
medium6,0.009,0.432,0.028,2.11,1.4,2.954,518.6
medium7,0.009,0.452,0.015,2.401,2.4,5.195,584.8
medium8,0.004,0.45,0.022,2.242,2.2,7.373,628.811
medium9,0.01,0.447,0.025,2.163,2.8,5.388,634.403
small1,0.001,0.754,0.003,0.221,1.8,18.954,197.6
small10,0.001,0.674,0.003,0.232,1.0,0.0,119.0
small11,0.001,0.777,0.007,0.23,1.8,13.85,207.8
small12,0.001,0.807,0.003,0.204,2.8,13.875,151.8
small13,0.006,0.809,0.003,0.288,2.8,22.731,207.4
small14,0.006,0.808,0.007,0.225,1.8,21.081,132.601
small15,0.001,0.658,0.003,0.224,1.2,12.381,123.4
small16,0.006,0.813,0.003,0.233,1.0,0.0,172.0
small17,0.001,0.845,0.002,0.197,2.8,5.476,280.63
small18,0.002,0.78,0.003,0.197,1.6,0.938,190.8
small19,0.001,0.62,0.003,0.255,1.0,0.0,78.6
small2,0.001,0.756,0.003,0.211,1.8,2.838,209.4
small20,0.001,0.713,0.003,0.21,2.2,11.767,161.6
small3,0.001,0.833,0.003,0.203,2.0,12.526,140.2
small4,0.001,0.722,0.003,0.198,1.8,4.931,113.8
small5,0.001,0.821,0.003,0.211,2.2,8.822,176.0
small6,0.005,0.773,0.006,0.211,2.2,23.89,159.8
small7,0.001,0.683,0.003,0.237,1.6,4.113,134.8
small8,0.001,0.658,0.003,0.217,1.4,1.133,133.8
small9,0.002,0.68,0.003,0.213,2.2,11.607,220.0
verySmall1,0.0,0.117,0.001,0.05,1.0,0.0,2.8
