instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.007,0.357,0.016,2.782,1.0,0.0,661.4
medium10,0.003,0.238,0.018,2.569,2.6,2.814,1131.028
medium2,0.004,0.245,0.015,2.367,1.4,0.389,764.416
medium3,0.005,0.236,0.012,2.393,1.6,0.887,863.247
medium4,0.006,0.233,0.023,2.882,1.8,0.27,1117.817
medium5,0.004,0.233,0.019,2.712,2.4,8.155,758.4
medium6,0.004,0.234,0.011,2.11,2.4,11.361,910.402
medium7,0.004,0.24,0.014,2.401,2.0,3.115,930.831
medium8,0.006,0.228,0.026,2.242,2.2,0.808,815.007
medium9,0.007,0.228,0.023,2.163,2.8,1.28,863.632
small1,0.003,0.379,0.002,0.221,1.8,66.512,145.801
small10,0.001,0.224,0.002,0.232,1.0,0.0,241.0
small11,0.001,0.182,0.003,0.23,1.8,5.946,396.407
small12,0.001,0.134,0.003,0.204,2.0,13.067,225.836
small13,0.003,0.281,0.004,0.288,2.4,54.22,235.2
small14,0.001,0.1,0.003,0.225,2.0,18.351,243.416
small15,0.001,0.052,0.003,0.224,1.0,0.0,141.4
small16,0.003,0.103,0.003,0.233,1.2,5.845,217.804
small17,0.003,0.165,0.003,0.197,1.0,0.0,418.498
small18,0.005,0.176,0.003,0.197,1.0,0.0,296.4
small19,0.001,0.065,0.003,0.255,1.0,0.0,72.6
small2,0.001,0.196,0.002,0.211,1.8,14.282,227.4
small20,0.001,0.118,0.003,0.21,2.4,47.715,254.801
small3,0.001,0.259,0.003,0.203,1.0,0.0,168.2
small4,0.003,0.134,0.005,0.198,1.0,0.0,166.0
small5,0.005,0.08,0.003,0.211,1.6,6.222,304.037
small6,0.001,0.085,0.002,0.211,1.0,0.0,168.074
small7,0.001,0.29,0.004,0.237,1.8,11.503,231.415
small8,0.001,0.074,0.003,0.217,1.0,0.0,134.4
small9,0.001,0.108,0.003,0.213,2.8,15.824,213.601
verySmall1,0.0,0.065,0.001,0.05,1.0,0.0,10.4
