instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.357,0.024,2.782,1.2,1.118,499.6
medium10,0.012,0.351,0.026,2.569,1.4,5.546,450.0
medium2,0.009,0.362,0.019,2.367,2.6,10.772,556.4
medium3,0.008,0.358,0.024,2.393,2.6,5.635,584.2
medium4,0.008,0.375,0.021,2.882,2.8,12.69,653.002
medium5,0.005,0.363,0.024,2.712,2.0,2.659,564.2
medium6,0.009,0.359,0.021,2.11,1.2,0.664,535.6
medium7,0.005,0.356,0.024,2.401,2.8,18.955,584.201
medium8,0.013,0.366,0.024,2.242,3.2,4.067,698.408
medium9,0.004,0.366,0.015,2.163,2.0,5.145,640.805
small1,0.001,0.194,0.003,0.221,2.0,7.022,205.4
small10,0.002,0.119,0.006,0.232,1.0,0.0,112.0
small11,0.001,0.188,0.003,0.23,1.4,9.064,202.0
small12,0.005,0.155,0.003,0.204,2.8,20.196,159.601
small13,0.001,0.224,0.003,0.288,3.6,22.54,180.2
small14,0.001,0.251,0.003,0.225,2.0,14.813,146.001
small15,0.001,0.091,0.006,0.224,1.6,8.922,146.2
small16,0.001,0.188,0.003,0.233,1.0,0.0,178.0
small17,0.001,0.25,0.003,0.197,1.8,5.304,257.649
small18,0.001,0.173,0.003,0.197,2.0,17.783,185.0
small19,0.001,0.074,0.006,0.255,1.4,9.105,104.6
small2,0.001,0.154,0.003,0.211,1.2,5.376,188.8
small20,0.001,0.127,0.01,0.21,1.6,22.102,141.0
small3,0.005,0.231,0.003,0.203,1.8,22.377,130.0
small4,0.001,0.122,0.003,0.198,1.8,22.018,97.2
small5,0.001,0.179,0.006,0.211,1.4,11.703,175.6
small6,0.001,0.186,0.003,0.211,2.2,9.968,172.401
small7,0.009,0.157,0.003,0.237,1.8,17.115,138.0
small8,0.005,0.137,0.006,0.217,1.0,0.0,116.8
small9,0.001,0.152,0.003,0.213,1.6,5.225,227.2
verySmall1,0.0,0.075,0.001,0.05,1.0,0.0,4.4
