instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.007,0.313,0.02,2.782,1.0,0.0,571.6
medium10,0.005,0.319,0.019,2.569,1.8,2.283,997.414
medium2,0.005,0.346,0.019,2.367,1.8,0.917,721.212
medium3,0.013,0.32,0.014,2.393,1.8,3.338,811.033
medium4,0.004,0.31,0.026,2.882,2.0,3.937,902.406
medium5,0.01,0.297,0.025,2.712,1.8,3.393,771.4
medium6,0.004,0.314,0.019,2.11,2.2,6.577,792.4
medium7,0.008,0.32,0.015,2.401,3.8,5.598,871.013
medium8,0.004,0.32,0.024,2.242,2.8,2.138,763.604
medium9,0.004,0.31,0.022,2.163,2.2,1.552,836.818
small1,0.001,0.519,0.002,0.221,1.0,0.0,151.603
small10,0.001,0.422,0.003,0.232,1.0,0.0,243.4
small11,0.001,0.344,0.003,0.23,2.4,21.755,245.6
small12,0.001,0.421,0.003,0.204,1.6,12.413,202.824
small13,0.001,0.435,0.002,0.288,2.8,30.058,219.8
small14,0.001,0.354,0.006,0.225,2.6,19.242,214.612
small15,0.001,0.284,0.005,0.224,1.2,1.019,155.8
small16,0.001,0.414,0.003,0.233,1.4,1.159,226.2
small17,0.001,0.4,0.003,0.197,1.2,0.517,325.675
small18,0.001,0.508,0.003,0.197,1.2,1.624,289.0
small19,0.001,0.366,0.003,0.255,1.0,0.0,65.8
small2,0.001,0.502,0.003,0.211,1.8,3.991,206.4
small20,0.001,0.326,0.003,0.21,1.8,20.712,194.0
small3,0.004,0.555,0.005,0.203,1.2,6.984,159.2
small4,0.001,0.44,0.005,0.198,2.4,34.237,169.801
small5,0.001,0.462,0.005,0.211,2.0,6.527,287.616
small6,0.001,0.352,0.005,0.211,1.2,0.07,173.667
small7,0.004,0.621,0.002,0.237,1.0,0.0,221.6
small8,0.001,0.323,0.003,0.217,1.0,0.0,136.0
small9,0.001,0.456,0.002,0.213,2.8,20.093,232.4
verySmall1,0.001,0.08,0.001,0.05,1.0,0.0,14.4
