instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.004,0.28,0.02,2.782,1.0,0.0,571.2
medium10,0.004,0.277,0.02,2.569,1.8,7.513,873.822
medium2,0.008,0.275,0.019,2.367,2.0,1.63,661.012
medium3,0.009,0.272,0.015,2.393,2.6,7.419,714.02
medium4,0.008,0.273,0.024,2.882,2.4,0.738,932.607
medium5,0.004,0.275,0.021,2.712,2.4,3.136,757.2
medium6,0.006,0.271,0.014,2.11,2.2,16.921,787.4
medium7,0.004,0.281,0.017,2.401,4.4,4.591,916.609
medium8,0.004,0.279,0.024,2.242,2.8,3.412,745.001
medium9,0.004,0.276,0.023,2.163,1.8,1.653,852.616
small1,0.001,0.315,0.002,0.221,1.4,85.655,160.602
small10,0.001,0.192,0.003,0.232,1.2,0.075,249.4
small11,0.001,0.096,0.003,0.23,2.2,16.33,255.604
small12,0.001,0.117,0.003,0.204,2.0,5.39,210.431
small13,0.001,0.202,0.002,0.288,2.8,22.046,228.001
small14,0.001,0.105,0.003,0.225,3.0,12.73,206.21
small15,0.004,0.07,0.003,0.224,1.0,0.0,155.4
small16,0.001,0.146,0.003,0.233,1.2,0.639,219.6
small17,0.004,0.178,0.003,0.197,1.8,1.728,332.682
small18,0.001,0.188,0.003,0.197,1.4,1.845,277.4
small19,0.001,0.09,0.002,0.255,1.0,0.0,74.0
small2,0.001,0.205,0.003,0.211,2.0,2.761,201.2
small20,0.001,0.122,0.003,0.21,1.8,73.745,190.8
small3,0.001,0.297,0.003,0.203,1.0,0.0,166.0
small4,0.004,0.149,0.003,0.198,2.4,34.631,179.2
small5,0.001,0.092,0.005,0.211,2.6,7.634,316.014
small6,0.001,0.216,0.002,0.211,1.6,1.212,194.089
small7,0.001,0.417,0.002,0.237,1.2,4.726,224.4
small8,0.001,0.082,0.004,0.217,1.0,0.0,142.2
small9,0.001,0.222,0.002,0.213,3.2,17.569,228.2
verySmall1,0.0,0.062,0.001,0.05,1.0,0.0,10.4
