instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.009,1.276,0.018,2.782,1.0,0.0,672.2
medium10,0.005,0.587,0.023,2.569,2.4,1.909,1092.038
medium2,0.004,1.255,0.014,2.367,1.4,0.251,799.816
medium3,0.004,1.101,0.012,2.393,1.6,0.349,863.445
medium4,0.005,0.479,0.027,2.882,1.8,0.332,1132.424
medium5,0.004,0.426,0.021,2.712,1.6,6.144,752.8
medium6,0.004,0.805,0.014,2.11,2.4,14.769,900.4
medium7,0.005,0.967,0.018,2.401,2.8,2.855,920.027
medium8,0.007,0.513,0.031,2.242,1.4,1.11,819.61
medium9,0.004,0.447,0.026,2.163,2.2,1.1,917.841
small1,0.001,0.79,0.002,0.221,1.6,28.945,148.201
small10,0.004,0.672,0.004,0.232,1.4,3.019,250.6
small11,0.001,0.642,0.003,0.23,1.6,3.958,415.811
small12,0.002,0.668,0.005,0.204,2.0,7.838,227.443
small13,0.001,0.71,0.005,0.288,2.6,42.817,239.6
small14,0.001,0.652,0.004,0.225,2.2,26.335,242.408
small15,0.001,0.412,0.003,0.224,1.0,0.0,165.0
small16,0.003,0.599,0.003,0.233,1.0,0.0,217.0
small17,0.001,0.588,0.003,0.197,1.4,0.153,429.316
small18,0.001,0.706,0.003,0.197,1.0,0.0,293.0
small19,0.001,0.677,0.003,0.255,1.0,0.0,69.8
small2,0.004,0.786,0.005,0.211,2.0,10.367,225.6
small20,0.002,0.652,0.005,0.21,2.0,92.178,271.0
small3,0.001,0.757,0.003,0.203,1.0,0.0,184.4
small4,0.001,0.671,0.005,0.198,1.0,0.0,183.8
small5,0.001,0.644,0.003,0.211,2.0,9.676,304.026
small6,0.001,0.38,0.004,0.211,1.0,0.0,168.074
small7,0.006,0.591,0.003,0.237,1.4,4.884,276.415
small8,0.001,0.548,0.006,0.217,1.6,8.476,167.2
small9,0.001,0.695,0.003,0.213,2.8,21.391,217.8
verySmall1,0.0,0.073,0.001,0.05,1.0,0.0,10.2
