instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.009,0.392,0.027,2.782,1.6,12.265,502.4
medium10,0.009,0.406,0.021,2.569,1.2,1.115,483.0
medium2,0.004,0.388,0.024,2.367,2.4,13.27,546.4
medium3,0.004,0.41,0.022,2.393,2.2,4.115,563.601
medium4,0.009,0.405,0.022,2.882,2.2,10.545,655.801
medium5,0.004,0.389,0.027,2.712,1.8,5.047,601.201
medium6,0.009,0.394,0.019,2.11,1.6,3.851,587.2
medium7,0.012,0.392,0.024,2.401,3.4,6.598,665.601
medium8,0.005,0.404,0.021,2.242,3.0,7.921,693.003
medium9,0.014,0.391,0.03,2.163,2.8,10.307,656.601
small1,0.001,0.435,0.003,0.221,2.2,34.703,175.0
small10,0.001,0.427,0.006,0.232,1.6,15.441,100.0
small11,0.001,0.48,0.003,0.23,2.6,12.689,198.8
small12,0.001,0.503,0.003,0.204,2.8,16.771,158.8
small13,0.001,0.536,0.003,0.288,2.4,48.732,158.201
small14,0.001,0.528,0.003,0.225,1.8,2.365,137.401
small15,0.001,0.385,0.003,0.224,1.2,3.803,162.0
small16,0.002,0.511,0.003,0.233,1.0,0.0,183.8
small17,0.001,0.556,0.006,0.197,2.2,4.118,245.649
small18,0.001,0.508,0.006,0.197,1.8,17.727,194.2
small19,0.001,0.366,0.003,0.255,1.2,2.535,111.4
small2,0.001,0.455,0.003,0.211,2.4,5.821,206.0
small20,0.01,0.378,0.003,0.21,1.4,8.029,155.6
small3,0.001,0.513,0.003,0.203,1.4,3.119,112.4
small4,0.001,0.429,0.003,0.198,2.4,30.036,115.4
small5,0.001,0.54,0.003,0.211,1.2,2.547,183.2
small6,0.001,0.488,0.003,0.211,1.6,4.135,156.4
small7,0.001,0.457,0.003,0.237,1.4,3.354,165.8
small8,0.001,0.382,0.003,0.217,1.2,13.019,126.6
small9,0.001,0.404,0.003,0.213,2.2,8.221,224.6
verySmall1,0.0,0.117,0.001,0.05,1.0,0.0,2.8
