instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.319,0.02,2.782,1.8,2.46,584.6
medium10,0.007,0.323,0.02,2.569,2.2,8.231,720.202
medium2,0.009,0.345,0.02,2.367,2.0,15.51,631.201
medium3,0.005,0.334,0.014,2.393,1.4,0.644,627.831
medium4,0.007,0.327,0.023,2.882,2.2,7.903,742.403
medium5,0.008,0.322,0.023,2.712,1.8,4.25,649.6
medium6,0.01,0.342,0.017,2.11,1.4,3.68,658.6
medium7,0.005,0.338,0.019,2.401,3.0,8.664,662.206
medium8,0.005,0.336,0.024,2.242,2.2,3.215,700.001
medium9,0.007,0.325,0.023,2.163,3.4,3.289,767.611
small1,0.002,0.194,0.005,0.221,2.2,62.608,163.8
small10,0.001,0.145,0.003,0.232,1.0,0.0,185.6
small11,0.001,0.143,0.006,0.23,2.4,7.836,262.4
small12,0.001,0.102,0.006,0.204,3.0,35.042,167.2
small13,0.001,0.187,0.002,0.288,2.4,21.308,222.4
small14,0.002,0.135,0.003,0.225,1.8,4.668,168.218
small15,0.001,0.079,0.003,0.224,1.2,2.759,147.0
small16,0.001,0.231,0.003,0.233,1.4,2.25,214.4
small17,0.001,0.157,0.003,0.197,1.2,1.498,267.656
small18,0.001,0.213,0.003,0.197,1.2,6.952,224.4
small19,0.001,0.084,0.002,0.255,1.0,0.0,87.8
small2,0.001,0.182,0.003,0.211,1.4,3.355,223.6
small20,0.001,0.178,0.003,0.21,1.2,2.189,200.8
small3,0.001,0.188,0.003,0.203,1.0,0.0,145.4
small4,0.001,0.112,0.003,0.198,2.0,17.898,114.817
small5,0.001,0.142,0.003,0.211,1.4,6.507,211.4
small6,0.001,0.16,0.003,0.211,1.6,10.926,169.425
small7,0.002,0.392,0.006,0.237,1.8,2.828,217.0
small8,0.001,0.09,0.003,0.217,1.0,0.0,158.2
small9,0.002,0.155,0.005,0.213,2.2,7.964,220.6
verySmall1,0.0,0.051,0.004,0.05,1.0,0.0,10.8
