instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.611,0.02,2.782,1.2,1.051,565.6
medium10,0.007,0.928,0.024,2.569,2.6,7.163,710.0
medium2,0.013,0.955,0.025,2.367,2.2,12.944,683.6
medium3,0.012,1.524,0.021,2.393,1.4,2.738,646.835
medium4,0.005,0.671,0.018,2.882,2.0,15.166,712.001
medium5,0.011,0.557,0.027,2.712,1.6,1.507,672.4
medium6,0.004,1.026,0.017,2.11,1.4,2.257,669.0
medium7,0.007,0.82,0.019,2.401,3.2,8.459,663.612
medium8,0.004,0.617,0.027,2.242,2.2,2.0,702.403
medium9,0.005,0.679,0.027,2.163,2.6,4.888,735.81
small1,0.001,0.682,0.003,0.221,2.0,44.88,180.4
small10,0.001,0.732,0.003,0.232,1.2,0.656,165.0
small11,0.001,0.671,0.003,0.23,2.6,15.664,260.0
small12,0.001,0.769,0.006,0.204,3.0,25.496,187.0
small13,0.001,0.716,0.002,0.288,2.4,18.502,230.8
small14,0.001,0.793,0.003,0.225,2.0,6.237,202.006
small15,0.001,0.579,0.003,0.224,1.0,0.0,155.6
small16,0.001,0.762,0.003,0.233,1.0,0.0,191.0
small17,0.001,0.746,0.003,0.197,1.8,1.533,290.86
small18,0.001,0.794,0.006,0.197,1.0,0.0,228.6
small19,0.001,0.665,0.006,0.255,1.0,0.0,75.4
small2,0.001,0.802,0.003,0.211,1.6,4.368,216.4
small20,0.001,0.7,0.003,0.21,1.2,6.076,144.8
small3,0.001,0.855,0.006,0.203,1.2,1.625,146.4
small4,0.001,0.679,0.006,0.198,2.8,9.582,144.6
small5,0.001,0.798,0.004,0.211,2.4,10.546,242.2
small6,0.001,0.676,0.003,0.211,1.8,20.974,165.419
small7,0.001,0.89,0.006,0.237,1.4,8.247,200.0
small8,0.001,0.678,0.006,0.217,1.0,0.0,145.4
small9,0.005,0.727,0.002,0.213,1.6,10.054,275.0
verySmall1,0.001,0.081,0.001,0.05,1.0,0.0,17.4
