instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.01,0.572,0.037,13.047,1.2,0.102,572.0
medium10,0.017,0.577,0.041,2.58,3.0,5.972,813.406
medium2,0.014,0.586,0.034,2.325,2.0,3.352,621.211
medium3,0.013,0.585,0.028,2.371,2.2,2.776,782.634
medium4,0.016,0.557,0.041,2.897,1.6,2.16,868.203
medium5,0.015,0.565,0.042,2.696,1.4,2.927,723.2
medium6,0.013,0.584,0.032,2.194,1.4,0.851,742.4
medium7,0.01,0.609,0.04,2.421,3.6,5.188,873.41
medium8,0.014,0.579,0.05,2.215,2.4,2.438,741.002
medium9,0.01,0.586,0.045,2.21,3.0,0.637,868.622
small1,0.011,0.654,0.004,0.229,1.8,65.993,146.001
small10,0.002,0.373,0.004,0.231,1.0,0.0,235.8
small11,0.005,0.218,0.007,0.21,2.8,19.848,261.8
small12,0.002,0.219,0.005,0.207,2.2,21.465,209.602
small13,0.002,0.419,0.004,0.299,2.6,24.342,194.6
small14,0.003,0.197,0.006,0.222,2.6,13.126,212.219
small15,0.005,0.147,0.007,0.211,1.4,1.297,147.8
small16,0.005,0.296,0.005,0.225,1.2,0.093,207.2
small17,0.002,0.356,0.005,0.21,1.0,0.0,307.092
small18,0.005,0.343,0.005,0.194,1.4,0.886,270.6
small19,0.002,0.212,0.004,0.25,1.0,0.0,66.0
small2,0.002,0.393,0.007,0.209,1.4,2.474,180.0
small20,0.007,0.252,0.005,0.217,2.0,9.902,179.6
small3,0.008,0.543,0.005,0.201,1.4,7.822,148.4
small4,0.002,0.346,0.004,0.198,1.6,21.419,143.8
small5,0.002,0.213,0.013,0.195,2.2,6.581,294.013
small6,0.002,0.335,0.006,0.204,1.2,0.166,172.674
small7,0.002,0.799,0.005,0.259,1.2,1.176,217.8
small8,0.002,0.154,0.005,0.215,1.0,0.0,127.0
small9,0.005,0.396,0.004,0.197,2.8,12.402,229.2
verySmall1,0.004,0.111,0.002,0.051,1.0,0.0,10.2
