instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.01,0.588,0.062,13.047,1.2,0.36,670.6
medium10,0.008,0.437,0.034,2.58,3.4,1.864,1101.028
medium2,0.007,0.484,0.031,2.325,1.0,0.0,764.016
medium3,0.008,0.467,0.02,2.371,1.0,0.0,808.048
medium4,0.007,0.454,0.041,2.897,2.0,0.387,1097.618
medium5,0.008,0.425,0.034,2.696,2.2,7.643,739.6
medium6,0.012,0.446,0.022,2.194,2.2,5.785,851.6
medium7,0.01,0.447,0.025,2.421,2.4,4.914,903.026
medium8,0.014,0.437,0.042,2.215,2.0,1.116,805.008
medium9,0.007,0.437,0.038,2.21,2.4,0.849,876.235
small1,0.002,0.749,0.003,0.229,1.8,38.428,147.801
small10,0.002,0.416,0.006,0.231,1.0,0.0,241.0
small11,0.004,0.374,0.005,0.21,1.6,12.325,364.006
small12,0.002,0.262,0.005,0.207,2.0,16.122,211.038
small13,0.002,0.519,0.004,0.299,2.6,45.581,235.2
small14,0.002,0.194,0.007,0.222,2.6,14.884,238.613
small15,0.002,0.101,0.005,0.211,1.0,0.0,145.8
small16,0.002,0.208,0.005,0.225,1.0,0.0,198.4
small17,0.002,0.351,0.005,0.21,1.0,0.0,426.117
small18,0.002,0.342,0.005,0.194,1.2,0.833,306.4
small19,0.002,0.141,0.004,0.25,1.0,0.0,68.4
small2,0.002,0.387,0.005,0.209,1.8,5.792,230.4
small20,0.005,0.258,0.005,0.217,3.0,44.53,251.0
small3,0.002,0.492,0.005,0.201,1.2,0.909,160.8
small4,0.003,0.308,0.006,0.198,1.0,0.0,166.0
small5,0.003,0.159,0.006,0.195,2.0,9.36,301.027
small6,0.004,0.169,0.004,0.204,1.0,0.0,168.074
small7,0.004,0.561,0.005,0.259,1.0,0.0,205.8
small8,0.002,0.157,0.006,0.215,1.0,0.0,119.8
small9,0.002,0.231,0.004,0.197,2.6,25.967,202.8
verySmall1,0.001,0.119,0.002,0.051,1.0,0.0,10.0
