instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.011,0.973,0.04,13.047,1.0,0.0,557.8
medium10,0.007,0.891,0.043,2.58,2.6,2.283,959.804
medium2,0.014,1.175,0.036,2.325,1.8,1.302,670.211
medium3,0.011,1.442,0.027,2.371,2.6,5.208,748.423
medium4,0.008,0.872,0.047,2.897,2.0,2.837,844.805
medium5,0.011,0.852,0.044,2.696,1.6,3.071,712.4
medium6,0.01,0.95,0.028,2.194,1.8,9.796,730.0
medium7,0.009,1.007,0.039,2.421,3.4,5.166,870.807
medium8,0.012,0.845,0.056,2.215,2.8,1.888,726.801
medium9,0.02,0.86,0.048,2.21,2.0,1.868,854.822
small1,0.006,1.73,0.004,0.229,2.0,55.995,158.2
small10,0.002,1.487,0.004,0.231,1.4,1.933,242.2
small11,0.002,1.353,0.009,0.21,2.4,26.055,225.6
small12,0.006,1.554,0.008,0.207,2.4,7.017,204.009
small13,0.006,1.48,0.01,0.299,2.2,26.93,210.0
small14,0.002,1.471,0.006,0.222,2.4,19.912,211.809
small15,0.002,1.116,0.008,0.211,1.6,6.57,144.4
small16,0.005,1.48,0.008,0.225,1.0,0.0,199.0
small17,0.002,1.437,0.008,0.21,1.8,3.217,269.855
small18,0.002,1.625,0.008,0.194,1.6,4.871,268.0
small19,0.002,1.441,0.004,0.25,1.0,0.0,62.8
small2,0.002,1.72,0.004,0.209,1.4,1.934,190.4
small20,0.006,1.315,0.005,0.217,1.6,38.71,164.4
small3,0.002,1.738,0.005,0.201,2.0,6.496,158.8
small4,0.002,1.587,0.005,0.198,1.8,24.402,140.4
small5,0.006,1.56,0.005,0.195,2.2,6.884,301.011
small6,0.007,1.156,0.008,0.204,1.4,1.275,174.873
small7,0.002,1.827,0.007,0.259,1.0,0.0,213.2
small8,0.003,1.323,0.005,0.215,1.2,0.505,141.0
small9,0.002,1.609,0.004,0.197,2.2,23.149,215.4
verySmall1,0.001,0.15,0.002,0.051,1.0,0.0,10.0
