instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.022,0.993,0.046,13.047,1.4,2.223,550.4
medium10,0.012,1.108,0.038,2.58,3.0,5.693,700.8
medium2,0.017,1.039,0.04,2.325,2.6,18.191,629.6
medium3,0.012,1.458,0.039,2.371,2.0,10.655,639.816
medium4,0.018,1.022,0.048,2.897,2.6,2.217,709.601
medium5,0.012,0.995,0.05,2.696,1.4,1.309,663.8
medium6,0.007,1.101,0.028,2.194,1.2,1.014,673.2
medium7,0.018,1.093,0.044,2.421,3.4,7.752,654.604
medium8,0.019,1.004,0.052,2.215,2.6,3.296,672.801
medium9,0.012,1.032,0.048,2.21,2.4,2.76,737.61
small1,0.003,1.545,0.005,0.229,2.0,38.011,155.4
small10,0.007,1.558,0.004,0.231,2.4,10.855,156.6
small11,0.002,1.514,0.005,0.21,2.8,31.262,227.6
small12,0.002,1.655,0.009,0.207,2.6,41.164,143.2
small13,0.013,1.65,0.004,0.299,2.4,16.898,219.8
small14,0.007,1.717,0.009,0.222,1.6,2.43,175.206
small15,0.007,1.24,0.004,0.211,1.4,1.779,143.0
small16,0.007,1.703,0.004,0.225,1.2,7.349,177.2
small17,0.002,1.625,0.004,0.21,1.8,3.343,266.636
small18,0.002,1.737,0.009,0.194,1.2,2.842,208.0
small19,0.002,1.404,0.004,0.25,1.0,0.0,69.8
small2,0.002,1.745,0.005,0.209,1.0,0.0,217.4
small20,0.007,1.478,0.009,0.217,1.4,15.571,169.6
small3,0.002,1.731,0.009,0.201,1.2,9.263,108.6
small4,0.003,1.484,0.009,0.198,2.0,27.736,114.4
small5,0.017,1.722,0.005,0.195,2.2,6.876,207.8
small6,0.002,1.506,0.005,0.204,2.0,32.576,156.422
small7,0.002,1.773,0.009,0.259,1.6,10.555,174.4
small8,0.003,1.456,0.006,0.215,1.0,0.0,130.0
small9,0.002,1.567,0.004,0.197,1.4,9.624,239.8
verySmall1,0.001,0.155,0.002,0.051,1.0,0.0,10.8
