instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.01,0.562,0.028,13.047,1.0,0.0,663.2
medium10,0.009,0.516,0.037,2.58,2.4,3.824,1040.229
medium2,0.008,0.57,0.029,2.325,1.2,0.2,748.017
medium3,0.008,0.544,0.019,2.371,1.2,0.063,804.248
medium4,0.012,0.522,0.04,2.897,1.8,0.579,1118.418
medium5,0.009,0.505,0.037,2.696,2.2,7.589,738.4
medium6,0.008,0.533,0.02,2.194,2.8,12.387,830.2
medium7,0.008,0.551,0.026,2.421,2.0,0.691,905.235
medium8,0.007,0.524,0.047,2.215,1.8,1.459,815.608
medium9,0.009,0.533,0.042,2.21,3.0,1.307,890.838
small1,0.002,1.125,0.003,0.229,1.6,36.788,137.001
small10,0.003,0.941,0.004,0.231,1.0,0.0,241.0
small11,0.003,0.939,0.005,0.21,1.4,5.69,383.008
small12,0.005,0.883,0.005,0.207,3.0,9.346,211.038
small13,0.002,1.035,0.006,0.299,3.0,24.457,231.0
small14,0.007,0.812,0.009,0.222,2.8,17.561,220.009
small15,0.002,0.412,0.005,0.211,1.0,0.0,151.8
small16,0.004,0.74,0.007,0.225,1.0,0.0,217.0
small17,0.002,0.77,0.005,0.21,1.0,0.0,426.117
small18,0.005,0.994,0.006,0.194,1.0,0.0,293.0
small19,0.002,0.768,0.006,0.25,1.0,0.0,67.0
small2,0.004,1.093,0.004,0.209,2.0,8.193,225.6
small20,0.004,0.81,0.006,0.217,2.2,46.986,261.001
small3,0.004,1.181,0.005,0.201,1.0,0.0,173.2
small4,0.003,0.833,0.005,0.198,1.0,0.0,166.0
small5,0.002,0.931,0.006,0.195,2.0,8.295,304.026
small6,0.002,0.457,0.006,0.204,1.0,0.0,168.074
small7,0.002,0.919,0.005,0.259,1.0,0.0,224.6
small8,0.004,0.639,0.007,0.215,1.0,0.0,123.4
small9,0.002,0.802,0.006,0.197,2.4,30.026,217.6
verySmall1,0.001,0.131,0.002,0.051,1.0,0.0,10.2
