instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,1.331,0.044,13.047,1.0,0.0,578.2
medium10,0.013,2.149,0.03,2.58,2.4,12.81,652.8
medium2,0.008,2.083,0.046,2.325,3.2,6.918,616.801
medium3,0.03,3.576,0.038,2.371,1.8,7.26,599.022
medium4,0.02,1.542,0.04,2.897,2.8,6.083,690.201
medium5,0.013,1.333,0.051,2.696,2.0,0.429,672.2
medium6,0.018,2.2,0.038,2.194,2.0,4.662,640.2
medium7,0.025,1.911,0.038,2.421,2.4,7.799,654.603
medium8,0.018,1.378,0.059,2.215,3.2,6.382,643.401
medium9,0.025,1.543,0.049,2.21,2.0,2.775,738.202
small1,0.002,1.559,0.004,0.229,2.0,22.825,152.2
small10,0.008,1.618,0.009,0.231,1.4,8.84,163.2
small11,0.002,1.48,0.01,0.21,2.4,13.507,224.2
small12,0.002,1.685,0.005,0.207,2.6,22.16,176.8
small13,0.002,1.629,0.004,0.299,2.2,23.07,228.601
small14,0.002,1.783,0.01,0.222,2.0,7.53,179.01
small15,0.003,1.258,0.009,0.211,1.0,0.0,129.6
small16,0.002,1.718,0.004,0.225,1.2,4.294,171.0
small17,0.002,1.615,0.009,0.21,1.4,2.615,271.051
small18,0.002,1.825,0.005,0.194,1.4,3.355,214.4
small19,0.013,1.419,0.004,0.25,1.2,3.962,73.0
small2,0.002,1.832,0.009,0.209,1.8,4.879,202.8
small20,0.007,1.53,0.014,0.217,1.2,3.067,164.6
small3,0.002,1.843,0.005,0.201,1.4,2.373,101.2
small4,0.003,1.557,0.005,0.198,1.4,2.698,121.4
small5,0.002,1.782,0.01,0.195,1.2,1.026,218.2
small6,0.002,1.567,0.015,0.204,2.6,7.508,151.801
small7,0.002,1.81,0.004,0.259,1.6,17.714,172.4
small8,0.003,1.468,0.01,0.215,1.0,0.0,125.4
small9,0.002,1.647,0.004,0.197,2.0,5.158,246.6
verySmall1,0.001,0.165,0.002,0.051,1.0,0.0,10.4
