instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.014,1.155,0.052,13.047,1.2,0.285,464.4
medium10,0.026,1.145,0.045,2.58,1.4,0.039,470.6
medium2,0.021,1.156,0.047,2.325,3.6,8.808,511.6
medium3,0.016,1.192,0.054,2.371,3.0,8.065,544.801
medium4,0.021,1.186,0.053,2.897,3.2,6.211,637.601
medium5,0.021,1.14,0.051,2.696,2.0,3.962,565.8
medium6,0.015,1.133,0.048,2.194,1.8,9.073,529.8
medium7,0.014,1.159,0.046,2.421,3.6,10.639,601.401
medium8,0.015,1.162,0.051,2.215,3.4,6.673,616.606
medium9,0.036,1.17,0.053,2.21,4.2,6.162,629.401
small1,0.003,1.794,0.005,0.229,2.0,26.064,172.0
small10,0.002,1.686,0.004,0.231,1.0,0.0,111.6
small11,0.003,1.801,0.011,0.21,2.2,3.454,207.8
small12,0.01,1.946,0.005,0.207,2.0,23.886,148.6
small13,0.003,1.799,0.004,0.299,3.0,23.648,154.6
small14,0.002,1.908,0.005,0.222,2.0,10.679,138.402
small15,0.003,1.711,0.004,0.211,1.2,0.876,132.2
small16,0.002,1.93,0.004,0.225,1.4,2.159,184.0
small17,0.002,1.926,0.011,0.21,2.2,6.34,248.634
small18,0.002,1.824,0.004,0.194,1.4,9.017,151.2
small19,0.002,1.449,0.004,0.25,1.0,0.0,60.8
small2,0.002,1.8,0.005,0.209,2.4,5.633,207.4
small20,0.009,1.642,0.005,0.217,1.8,10.616,156.4
small3,0.002,1.889,0.01,0.201,1.2,1.875,116.8
small4,0.003,1.596,0.005,0.198,2.4,17.41,111.8
small5,0.003,1.906,0.011,0.195,1.8,7.693,164.2
small6,0.003,1.867,0.005,0.204,1.6,0.894,149.4
small7,0.002,1.736,0.005,0.259,1.8,5.218,137.2
small8,0.008,1.563,0.005,0.215,1.0,0.0,95.4
small9,0.002,1.669,0.004,0.197,1.8,16.457,208.4
verySmall1,0.001,0.277,0.002,0.051,1.0,0.0,0.8
