instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.025,1.62,0.053,13.047,1.4,1.389,479.2
medium10,0.021,1.671,0.054,2.58,1.4,1.328,479.4
medium2,0.014,1.621,0.048,2.325,3.0,18.187,490.2
medium3,0.014,1.919,0.047,2.371,2.4,17.935,564.4
medium4,0.016,1.798,0.048,2.897,2.4,8.592,620.8
medium5,0.023,1.529,0.046,2.696,1.4,6.313,526.8
medium6,0.021,1.465,0.05,2.194,1.6,6.467,530.4
medium7,0.021,1.668,0.053,2.421,3.6,6.622,604.0
medium8,0.023,1.575,0.056,2.215,2.8,10.854,647.401
medium9,0.021,1.621,0.056,2.21,3.2,8.272,633.801
small1,0.002,1.805,0.004,0.229,2.4,21.437,188.6
small10,0.003,1.726,0.011,0.231,1.4,7.368,92.8
small11,0.003,1.932,0.011,0.21,2.0,6.225,222.0
small12,0.002,1.975,0.005,0.207,2.0,6.211,148.8
small13,0.002,1.823,0.016,0.299,3.2,15.622,168.0
small14,0.009,1.985,0.011,0.222,2.4,14.421,135.401
small15,0.009,1.644,0.01,0.211,1.0,0.0,139.4
small16,0.003,1.984,0.004,0.225,1.0,0.0,160.8
small17,0.002,2.025,0.01,0.21,2.0,6.598,238.835
small18,0.002,1.949,0.005,0.194,1.2,6.087,191.0
small19,0.002,1.512,0.004,0.25,1.0,0.0,70.8
small2,0.003,1.851,0.005,0.209,3.0,6.093,195.8
small20,0.002,1.701,0.011,0.217,1.6,1.677,150.8
small3,0.002,1.912,0.004,0.201,1.4,3.151,123.0
small4,0.009,1.697,0.006,0.198,2.6,21.649,80.4
small5,0.003,2.004,0.005,0.195,1.4,6.688,163.0
small6,0.003,1.9,0.011,0.204,2.0,9.527,153.4
small7,0.003,1.743,0.005,0.259,1.4,6.475,114.0
small8,0.002,1.542,0.018,0.215,1.0,0.0,85.6
small9,0.003,1.622,0.005,0.197,2.4,7.224,206.8
verySmall1,0.001,0.289,0.002,0.051,1.0,0.0,0.8
