instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.014,2.759,0.031,13.047,1.0,0.0,660.4
medium10,0.007,1.321,0.038,2.58,2.4,2.071,1092.634
medium2,0.01,2.742,0.031,2.325,1.8,0.224,772.216
medium3,0.011,2.503,0.023,2.371,1.2,0.052,822.45
medium4,0.012,0.925,0.044,2.897,2.2,0.405,1111.017
medium5,0.011,0.853,0.039,2.696,2.2,12.143,749.0
medium6,0.01,1.685,0.026,2.194,3.0,10.86,823.8
medium7,0.013,2.129,0.03,2.421,1.8,0.546,906.835
medium8,0.011,1.045,0.05,2.215,1.8,1.779,806.208
medium9,0.012,0.921,0.046,2.21,2.8,1.288,865.834
small1,0.005,1.666,0.006,0.229,1.6,34.19,144.801
small10,0.002,1.434,0.006,0.231,1.2,1.509,245.8
small11,0.002,1.351,0.009,0.21,1.0,0.0,364.012
small12,0.005,1.469,0.007,0.207,2.6,10.54,211.038
small13,0.002,1.511,0.004,0.299,3.0,24.457,231.0
small14,0.002,1.384,0.006,0.222,2.6,19.077,227.809
small15,0.002,0.899,0.007,0.211,1.0,0.0,152.8
small16,0.002,1.295,0.007,0.225,1.0,0.0,217.404
small17,0.003,1.234,0.005,0.21,1.0,0.0,426.117
small18,0.002,1.52,0.007,0.194,1.0,0.0,293.0
small19,0.008,1.374,0.004,0.25,1.0,0.0,67.0
small2,0.004,1.705,0.006,0.209,1.8,8.992,223.8
small20,0.003,1.376,0.007,0.217,2.4,27.881,254.801
small3,0.005,1.628,0.007,0.201,1.0,0.0,162.4
small4,0.003,1.476,0.007,0.198,1.0,0.0,166.0
small5,0.002,1.439,0.006,0.195,2.0,9.599,301.027
small6,0.002,0.802,0.007,0.204,1.0,0.0,168.074
small7,0.007,1.353,0.005,0.259,1.0,0.0,234.0
small8,0.005,1.18,0.007,0.215,1.0,0.0,127.0
small9,0.002,1.412,0.005,0.197,2.2,28.047,220.4
verySmall1,0.003,0.131,0.001,0.051,1.0,0.0,10.2
