instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.01,0.692,0.037,13.047,1.2,0.937,568.4
medium10,0.01,0.678,0.041,2.58,2.2,4.315,906.405
medium2,0.007,0.726,0.036,2.325,2.0,3.6,655.408
medium3,0.014,0.712,0.027,2.371,1.8,2.838,715.832
medium4,0.015,0.67,0.045,2.897,1.6,0.593,908.003
medium5,0.016,0.664,0.045,2.696,2.0,5.182,725.2
medium6,0.01,0.7,0.029,2.194,2.4,6.205,756.4
medium7,0.007,0.71,0.037,2.421,4.2,6.621,854.008
medium8,0.007,0.696,0.059,2.215,2.8,3.995,706.002
medium9,0.014,0.674,0.048,2.21,1.6,1.135,816.819
small1,0.006,1.041,0.003,0.229,1.6,42.028,146.201
small10,0.005,0.863,0.007,0.231,2.0,5.816,236.0
small11,0.003,0.704,0.005,0.21,2.4,44.27,200.8
small12,0.003,0.882,0.005,0.207,2.4,21.967,202.202
small13,0.009,0.872,0.004,0.299,2.2,22.747,198.6
small14,0.003,0.767,0.009,0.222,2.8,16.243,191.211
small15,0.005,0.6,0.007,0.211,1.0,0.0,149.8
small16,0.002,0.842,0.005,0.225,1.0,0.0,209.4
small17,0.008,0.828,0.005,0.21,2.4,1.692,325.458
small18,0.003,0.981,0.011,0.194,1.6,3.247,276.2
small19,0.002,0.765,0.004,0.25,1.0,0.0,63.6
small2,0.003,1.059,0.004,0.209,1.4,2.321,208.4
small20,0.002,0.688,0.008,0.217,2.0,18.434,183.8
small3,0.006,1.139,0.005,0.201,1.4,15.306,153.4
small4,0.002,0.961,0.01,0.198,2.0,18.955,161.4
small5,0.002,0.89,0.011,0.195,2.2,6.49,284.613
small6,0.002,0.69,0.004,0.204,1.2,0.06,172.674
small7,0.006,1.239,0.004,0.259,1.0,0.0,210.4
small8,0.006,0.667,0.005,0.215,1.0,0.0,152.0
small9,0.002,0.97,0.004,0.197,2.6,8.17,233.8
verySmall1,0.001,0.171,0.002,0.051,1.0,0.0,10.2
