instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.008,0.705,0.047,13.047,1.4,1.881,570.0
medium10,0.013,0.715,0.035,2.58,2.8,4.329,700.802
medium2,0.012,0.734,0.035,2.325,3.0,14.712,614.2
medium3,0.008,0.739,0.03,2.371,1.6,7.686,655.629
medium4,0.013,0.716,0.042,2.897,2.0,7.393,681.601
medium5,0.016,0.72,0.047,2.696,1.4,2.003,646.4
medium6,0.012,0.735,0.031,2.194,1.2,2.768,579.6
medium7,0.012,0.736,0.041,2.421,2.2,15.612,642.604
medium8,0.014,0.725,0.054,2.215,2.8,4.641,664.601
medium9,0.013,0.725,0.045,2.21,2.8,2.844,754.21
small1,0.002,0.501,0.008,0.229,2.0,83.648,142.0
small10,0.002,0.405,0.008,0.231,1.6,15.195,149.8
small11,0.002,0.316,0.008,0.21,2.6,21.018,221.6
small12,0.003,0.257,0.009,0.207,2.6,27.318,168.0
small13,0.007,0.438,0.004,0.299,2.4,16.788,241.6
small14,0.002,0.406,0.005,0.222,1.8,7.047,187.407
small15,0.007,0.187,0.009,0.211,1.2,3.404,132.8
small16,0.006,0.545,0.005,0.225,1.0,0.0,190.2
small17,0.006,0.362,0.004,0.21,2.0,4.052,267.469
small18,0.002,0.466,0.004,0.194,1.2,5.0,222.2
small19,0.006,0.167,0.004,0.25,1.0,0.0,81.2
small2,0.003,0.427,0.004,0.209,1.4,1.237,222.8
small20,0.007,0.369,0.005,0.217,1.6,18.091,153.8
small3,0.003,0.523,0.005,0.201,1.8,15.46,118.8
small4,0.002,0.263,0.005,0.198,2.0,13.362,123.8
small5,0.002,0.308,0.005,0.195,2.4,19.465,218.8
small6,0.006,0.35,0.004,0.204,2.0,58.004,151.408
small7,0.006,0.853,0.004,0.259,1.4,3.577,170.8
small8,0.002,0.202,0.005,0.215,1.0,0.0,126.2
small9,0.006,0.326,0.008,0.197,1.6,4.545,245.4
verySmall1,0.001,0.101,0.005,0.051,1.0,0.0,10.6
