instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.014,0.944,0.052,13.047,1.6,1.312,483.4
medium10,0.026,0.948,0.039,2.58,1.4,3.771,467.8
medium2,0.021,0.952,0.051,2.325,3.4,13.43,489.8
medium3,0.02,0.954,0.051,2.371,2.6,5.275,522.601
medium4,0.013,0.947,0.05,2.897,3.0,10.207,605.202
medium5,0.027,0.947,0.05,2.696,1.6,1.614,536.2
medium6,0.032,0.93,0.052,2.194,1.4,0.635,533.6
medium7,0.007,0.971,0.045,2.421,3.6,7.704,606.4
medium8,0.022,0.974,0.042,2.215,3.2,5.914,665.006
medium9,0.014,0.962,0.05,2.21,3.0,5.657,656.402
small1,0.009,1.049,0.004,0.229,2.4,25.611,166.6
small10,0.016,0.934,0.01,0.231,1.2,2.759,102.8
small11,0.002,1.134,0.005,0.21,2.0,16.623,209.8
small12,0.002,1.194,0.01,0.207,2.2,20.427,146.4
small13,0.008,1.225,0.01,0.299,2.8,23.606,158.0
small14,0.002,1.219,0.015,0.222,2.2,14.998,148.6
small15,0.002,0.877,0.005,0.211,1.4,3.785,120.2
small16,0.002,1.214,0.016,0.225,1.0,0.0,153.8
small17,0.003,1.265,0.01,0.21,2.4,9.829,216.239
small18,0.002,1.234,0.005,0.194,1.4,8.1,145.6
small19,0.002,0.84,0.004,0.25,1.0,0.0,74.0
small2,0.002,1.139,0.005,0.209,2.2,3.048,202.0
small20,0.009,0.951,0.005,0.217,1.4,8.939,138.8
small3,0.009,1.258,0.01,0.201,1.8,11.673,122.8
small4,0.002,0.985,0.016,0.198,2.2,19.291,93.2
small5,0.003,1.282,0.01,0.195,1.4,10.259,190.2
small6,0.002,1.141,0.005,0.204,2.8,7.262,167.801
small7,0.009,1.018,0.01,0.259,1.2,9.014,114.4
small8,0.002,0.849,0.005,0.215,1.0,0.0,112.0
small9,0.008,0.941,0.01,0.197,2.0,8.354,208.0
verySmall1,0.001,0.288,0.002,0.051,1.0,0.0,0.4
