instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.014,0.842,0.05,13.047,1.8,3.781,460.2
medium10,0.031,0.842,0.044,2.58,1.4,6.377,484.0
medium2,0.014,0.836,0.05,2.325,2.6,9.706,496.0
medium3,0.013,0.843,0.043,2.371,2.0,13.103,494.601
medium4,0.014,0.836,0.043,2.897,2.4,11.004,636.0
medium5,0.02,0.829,0.047,2.696,1.2,0.372,554.6
medium6,0.013,0.827,0.049,2.194,1.2,0.523,528.8
medium7,0.015,0.846,0.038,2.421,3.4,7.278,614.001
medium8,0.008,0.845,0.048,2.215,3.2,5.236,666.204
medium9,0.014,0.839,0.048,2.21,3.8,6.445,642.802
small1,0.002,0.458,0.004,0.229,2.4,29.487,191.2
small10,0.008,0.292,0.01,0.231,1.2,3.74,122.4
small11,0.003,0.41,0.005,0.21,2.2,11.489,209.0
small12,0.009,0.381,0.01,0.207,1.6,3.197,168.8
small13,0.003,0.49,0.004,0.299,2.6,27.805,155.6
small14,0.002,0.482,0.004,0.222,2.0,9.592,139.601
small15,0.003,0.196,0.014,0.211,1.2,4.675,113.0
small16,0.008,0.489,0.004,0.225,1.0,0.0,152.0
small17,0.003,0.548,0.01,0.21,2.4,8.012,234.428
small18,0.008,0.442,0.005,0.194,1.2,0.519,171.2
small19,0.008,0.18,0.004,0.25,1.0,0.0,71.0
small2,0.008,0.407,0.005,0.209,1.6,5.04,200.6
small20,0.002,0.315,0.01,0.217,1.6,20.061,147.6
small3,0.008,0.57,0.005,0.201,1.6,13.4,119.4
small4,0.003,0.291,0.005,0.198,2.2,27.21,93.0
small5,0.002,0.46,0.011,0.195,1.4,18.821,138.6
small6,0.003,0.431,0.004,0.204,3.0,8.674,176.6
small7,0.002,0.38,0.005,0.259,1.0,0.0,121.2
small8,0.002,0.305,0.004,0.215,1.0,0.0,94.0
small9,0.014,0.346,0.004,0.197,2.0,8.955,219.6
verySmall1,0.001,0.198,0.002,0.051,1.0,0.0,0.6
