instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.011,1.841,0.042,13.047,1.0,0.0,556.0
medium10,0.02,1.745,0.044,2.58,2.6,2.249,825.207
medium2,0.008,2.723,0.041,2.325,2.4,5.523,650.607
medium3,0.021,3.076,0.033,2.371,2.6,6.192,741.822
medium4,0.016,1.253,0.051,2.897,2.8,2.382,870.804
medium5,0.017,1.117,0.048,2.696,1.6,3.71,722.0
medium6,0.007,2.164,0.033,2.194,2.2,7.031,718.0
medium7,0.012,2.054,0.032,2.421,4.2,6.704,850.606
medium8,0.017,1.313,0.063,2.215,2.6,3.506,731.002
medium9,0.012,1.401,0.049,2.21,2.8,2.638,834.411
small1,0.002,1.827,0.004,0.229,1.8,43.803,148.201
small10,0.006,1.648,0.008,0.231,1.6,8.211,223.0
small11,0.002,1.395,0.005,0.21,2.4,16.16,262.4
small12,0.002,1.715,0.005,0.207,3.2,16.941,198.0
small13,0.006,1.597,0.004,0.299,2.2,27.487,207.2
small14,0.002,1.579,0.009,0.222,2.6,17.781,212.209
small15,0.002,1.237,0.005,0.211,1.0,0.0,154.0
small16,0.006,1.56,0.008,0.225,1.4,3.957,220.8
small17,0.002,1.567,0.012,0.21,1.6,1.07,314.07
small18,0.002,1.778,0.008,0.194,1.6,2.288,275.4
small19,0.002,1.492,0.007,0.25,1.0,0.0,57.2
small2,0.002,1.875,0.008,0.209,1.6,2.423,201.6
small20,0.003,1.412,0.005,0.217,2.2,37.65,160.0
small3,0.002,1.904,0.005,0.201,1.2,3.742,170.0
small4,0.01,1.677,0.005,0.198,2.2,14.945,150.0
small5,0.002,1.756,0.009,0.195,2.0,4.374,283.818
small6,0.003,1.402,0.008,0.204,1.2,0.291,179.065
small7,0.002,1.957,0.004,0.259,1.0,0.0,210.4
small8,0.006,1.386,0.005,0.215,1.0,0.0,127.4
small9,0.002,1.759,0.004,0.197,2.4,13.491,261.0
verySmall1,0.001,0.153,0.002,0.051,1.0,0.0,10.2
