instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.02,0.82,0.042,13.047,1.2,0.033,554.8
medium10,0.007,0.83,0.036,2.58,2.6,18.35,671.0
medium2,0.017,0.832,0.04,2.325,3.0,5.851,649.001
medium3,0.013,0.883,0.035,2.371,2.6,10.997,653.012
medium4,0.023,0.84,0.045,2.897,2.6,6.337,694.801
medium5,0.017,0.834,0.047,2.696,1.4,0.461,655.6
medium6,0.017,0.854,0.031,2.194,1.6,2.876,625.6
medium7,0.013,0.847,0.044,2.421,2.2,8.077,677.405
medium8,0.008,0.823,0.056,2.215,2.4,3.175,671.2
medium9,0.012,0.823,0.046,2.21,2.8,3.301,753.009
small1,0.007,0.955,0.004,0.229,2.0,27.884,159.2
small10,0.003,0.987,0.004,0.231,1.4,0.309,155.6
small11,0.003,0.9,0.013,0.21,2.4,15.059,235.0
small12,0.007,1.021,0.005,0.207,3.0,23.673,167.8
small13,0.002,1.001,0.008,0.299,2.8,14.873,209.001
small14,0.002,1.064,0.014,0.222,2.2,5.721,183.809
small15,0.007,0.676,0.008,0.211,1.4,3.464,148.0
small16,0.002,1.136,0.004,0.225,1.4,2.225,179.8
small17,0.002,1.065,0.004,0.21,1.8,3.741,247.051
small18,0.003,1.19,0.004,0.194,1.2,0.588,215.0
small19,0.003,0.78,0.005,0.25,1.2,10.784,92.0
small2,0.007,1.189,0.005,0.209,1.6,7.023,202.0
small20,0.007,0.858,0.005,0.217,1.4,18.331,172.4
small3,0.002,1.192,0.005,0.201,1.2,1.931,143.6
small4,0.002,0.862,0.009,0.198,2.8,22.93,110.4
small5,0.002,1.194,0.005,0.195,1.8,7.592,200.0
small6,0.008,0.972,0.009,0.204,2.0,10.045,154.231
small7,0.012,1.243,0.004,0.259,1.2,1.321,176.8
small8,0.002,0.775,0.005,0.215,1.0,0.0,140.8
small9,0.011,1.075,0.004,0.197,1.2,2.204,238.2
verySmall1,0.001,0.151,0.001,0.051,1.0,0.0,17.0
