instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.009,1.073,0.029,13.047,1.0,0.0,671.2
medium10,0.012,0.67,0.035,2.58,3.2,2.433,1090.033
medium2,0.017,0.991,0.029,2.325,1.0,0.0,773.616
medium3,0.009,0.94,0.02,2.371,1.6,0.152,831.849
medium4,0.013,0.662,0.044,2.897,2.0,0.838,1106.416
medium5,0.007,0.638,0.037,2.696,2.0,10.77,747.2
medium6,0.012,0.733,0.021,2.194,2.4,14.238,838.601
medium7,0.01,0.887,0.027,2.421,2.0,1.511,905.231
medium8,0.007,0.651,0.049,2.215,1.6,1.757,803.409
medium9,0.009,0.661,0.04,2.21,2.4,1.14,884.84
small1,0.002,1.626,0.005,0.229,1.8,46.453,141.801
small10,0.003,1.453,0.004,0.231,1.0,0.0,241.0
small11,0.004,1.353,0.005,0.21,1.4,2.639,399.411
small12,0.002,1.485,0.005,0.207,2.8,9.167,211.042
small13,0.003,1.48,0.004,0.299,3.0,23.192,239.4
small14,0.002,1.37,0.01,0.222,2.4,22.564,233.209
small15,0.004,0.896,0.005,0.211,1.0,0.0,149.6
small16,0.004,1.239,0.005,0.225,1.0,0.0,208.2
small17,0.005,1.238,0.007,0.21,1.0,0.0,426.117
small18,0.002,1.519,0.005,0.194,1.0,0.0,293.0
small19,0.005,1.396,0.006,0.25,1.0,0.0,67.0
small2,0.002,1.599,0.004,0.209,2.0,9.242,232.2
small20,0.002,1.396,0.005,0.217,2.6,55.892,254.8
small3,0.002,1.634,0.007,0.201,1.0,0.0,167.8
small4,0.002,1.428,0.009,0.198,1.0,0.0,166.0
small5,0.002,1.43,0.008,0.195,2.0,9.464,301.027
small6,0.002,0.801,0.004,0.204,1.0,0.0,168.074
small7,0.002,1.299,0.005,0.259,1.0,0.0,234.0
small8,0.003,1.187,0.007,0.215,1.0,0.0,127.0
small9,0.002,1.422,0.006,0.197,2.8,15.166,213.8
verySmall1,0.001,0.125,0.003,0.051,1.0,0.0,10.0
