instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.12,0.008,12.686,1.0,0.0,622.4
medium10,0.001,0.13,0.009,2.607,2.0,3.885,931.408
medium2,0.001,0.172,0.006,2.294,1.2,0.038,761.812
medium3,0.001,0.222,0.006,2.362,1.8,1.159,888.844
medium4,0.001,0.093,0.008,2.921,1.4,0.521,960.614
medium5,0.001,0.08,0.008,2.658,1.4,1.633,817.402
medium6,0.001,0.135,0.006,2.119,1.4,6.113,833.4
medium7,0.001,0.123,0.008,2.402,2.2,4.399,866.229
medium8,0.001,0.087,0.009,2.156,1.6,3.11,705.603
medium9,0.001,0.108,0.007,2.155,1.8,0.771,908.227
small1,0.0,0.123,0.001,0.219,1.2,22.222,215.602
small10,0.0,0.127,0.001,0.232,1.0,0.0,236.002
small11,0.0,0.113,0.001,0.208,2.0,20.338,280.428
small12,0.0,0.135,0.001,0.201,1.2,1.851,262.631
small13,0.0,0.114,0.001,0.298,1.6,33.106,269.022
small14,0.0,0.128,0.001,0.22,1.6,11.082,239.808
small15,0.0,0.088,0.002,0.211,1.4,14.574,185.6
small16,0.0,0.127,0.001,0.226,1.4,0.966,268.019
small17,0.0,0.132,0.001,0.208,1.4,0.393,409.295
small18,0.0,0.131,0.001,0.192,1.2,0.717,281.0
small19,0.0,0.116,0.001,0.245,1.4,4.236,99.6
small2,0.0,0.136,0.001,0.212,1.2,0.156,248.6
small20,0.0,0.123,0.001,0.213,1.2,4.936,218.0
small3,0.0,0.14,0.001,0.213,1.0,0.0,172.4
small4,0.0,0.151,0.001,0.201,1.6,14.035,207.801
small5,0.0,0.12,0.001,0.202,2.6,7.581,313.203
small6,0.0,0.087,0.001,0.208,1.4,2.093,214.914
small7,0.0,0.139,0.001,0.244,1.6,9.373,262.008
small8,0.0,0.1,0.002,0.216,1.0,0.0,137.4
small9,0.0,0.133,0.001,0.201,1.4,6.117,308.2
verySmall1,0.0,0.014,0.0,0.051,1.0,0.0,24.2
