instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.002,0.24,0.005,12.686,1.0,0.0,696.8
medium10,0.001,0.103,0.008,2.607,2.4,3.35,1151.058
medium2,0.001,0.242,0.008,2.294,1.0,0.0,838.815
medium3,0.001,0.214,0.004,2.362,1.2,0.415,872.458
medium4,0.001,0.079,0.008,2.921,1.6,0.442,1143.226
medium5,0.002,0.074,0.008,2.658,1.2,0.879,806.816
medium6,0.001,0.157,0.004,2.119,1.6,5.867,981.01
medium7,0.001,0.178,0.005,2.402,2.2,3.314,974.829
medium8,0.001,0.083,0.01,2.156,1.6,0.464,822.411
medium9,0.001,0.1,0.009,2.155,1.4,0.228,950.662
small1,0.0,0.161,0.001,0.219,1.0,0.0,178.203
small10,0.0,0.139,0.001,0.232,1.2,4.215,256.221
small11,0.0,0.134,0.001,0.208,1.8,5.098,446.022
small12,0.0,0.153,0.002,0.201,1.2,1.08,238.28
small13,0.0,0.146,0.001,0.298,2.2,41.894,235.41
small14,0.0,0.135,0.001,0.22,1.6,12.955,263.424
small15,0.0,0.09,0.001,0.211,1.6,3.661,209.601
small16,0.0,0.121,0.001,0.226,1.0,0.0,270.628
small17,0.0,0.114,0.001,0.208,1.6,0.256,446.712
small18,0.0,0.146,0.001,0.192,1.6,2.889,333.2
small19,0.0,0.129,0.001,0.245,1.2,11.86,102.2
small2,0.0,0.149,0.001,0.212,1.4,7.593,246.2
small20,0.002,0.133,0.001,0.213,1.6,55.295,327.001
small3,0.0,0.161,0.001,0.213,1.0,0.0,186.0
small4,0.0,0.15,0.001,0.201,1.0,0.0,210.0
small5,0.0,0.132,0.001,0.202,1.2,2.741,310.052
small6,0.0,0.087,0.001,0.208,1.0,0.0,179.071
small7,0.0,0.137,0.001,0.244,1.6,5.389,307.821
small8,0.0,0.12,0.001,0.216,1.2,5.176,160.607
small9,0.0,0.134,0.001,0.201,2.0,17.162,258.801
verySmall1,0.0,0.015,0.0,0.051,1.0,0.0,28.6
