instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.097,0.006,12.686,1.6,6.065,575.8
medium10,0.001,0.081,0.006,2.607,1.8,3.41,543.2
medium2,0.001,0.087,0.007,2.294,2.6,15.389,565.2
medium3,0.003,0.104,0.006,2.362,1.8,1.671,657.003
medium4,0.001,0.101,0.007,2.921,1.8,2.572,727.204
medium5,0.001,0.09,0.006,2.658,1.4,1.649,607.402
medium6,0.001,0.073,0.01,2.119,1.0,0.0,565.2
medium7,0.001,0.088,0.006,2.402,2.0,1.993,725.013
medium8,0.001,0.09,0.006,2.156,1.4,1.201,716.61
medium9,0.001,0.083,0.008,2.155,2.2,4.097,774.412
small1,0.0,0.113,0.001,0.219,1.8,8.5,325.6
small10,0.0,0.111,0.001,0.232,1.2,1.187,172.6
small11,0.0,0.11,0.002,0.208,1.8,14.215,239.4
small12,0.0,0.125,0.001,0.201,2.4,13.499,207.819
small13,0.0,0.124,0.001,0.298,1.8,31.338,240.425
small14,0.0,0.12,0.001,0.22,1.6,12.283,173.411
small15,0.0,0.106,0.001,0.211,1.8,51.627,159.0
small16,0.0,0.124,0.001,0.226,1.2,2.278,214.4
small17,0.0,0.121,0.001,0.208,1.4,2.304,276.318
small18,0.0,0.118,0.001,0.192,1.2,17.105,218.4
small19,0.0,0.104,0.003,0.245,1.8,17.617,169.601
small2,0.0,0.119,0.001,0.212,2.0,14.902,218.6
small20,0.0,0.133,0.002,0.213,2.0,49.555,310.4
small3,0.0,0.122,0.001,0.213,2.2,23.425,168.6
small4,0.0,0.107,0.001,0.201,2.4,37.031,184.009
small5,0.0,0.121,0.001,0.202,2.8,13.122,214.4
small6,0.0,0.119,0.001,0.208,1.6,4.659,188.227
small7,0.002,0.108,0.001,0.244,2.0,12.068,215.406
small8,0.0,0.085,0.001,0.216,1.4,4.721,172.8
small9,0.0,0.111,0.001,0.201,1.6,19.561,246.602
verySmall1,0.0,0.022,0.0,0.051,1.0,0.0,22.8
