instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.003,0.073,0.006,12.686,1.4,2.305,679.0
medium10,0.001,0.057,0.008,2.607,2.2,2.639,1058.651
medium2,0.001,0.063,0.006,2.294,1.2,0.024,836.415
medium3,0.001,0.056,0.005,2.362,1.2,0.697,998.245
medium4,0.001,0.053,0.009,2.921,1.6,0.44,1163.431
medium5,0.002,0.051,0.008,2.658,1.4,2.606,775.006
medium6,0.001,0.057,0.005,2.119,1.8,1.804,1011.009
medium7,0.001,0.059,0.005,2.402,1.8,2.702,990.832
medium8,0.001,0.054,0.009,2.156,1.8,1.529,840.613
medium9,0.001,0.054,0.007,2.155,2.0,2.001,910.853
small1,0.0,0.157,0.001,0.219,1.2,0.558,193.802
small10,0.0,0.131,0.001,0.232,2.2,11.437,298.863
small11,0.0,0.112,0.003,0.208,1.6,3.888,429.617
small12,0.0,0.128,0.001,0.201,1.6,1.553,252.127
small13,0.0,0.139,0.001,0.298,2.4,39.485,244.004
small14,0.0,0.114,0.002,0.22,1.4,1.782,277.84
small15,0.0,0.076,0.001,0.211,1.2,1.007,195.2
small16,0.0,0.106,0.001,0.226,1.2,13.151,232.625
small17,0.0,0.109,0.001,0.208,1.2,0.147,427.717
small18,0.0,0.133,0.001,0.192,1.4,2.167,333.8
small19,0.0,0.121,0.001,0.245,1.0,0.0,79.0
small2,0.0,0.147,0.001,0.212,1.2,2.239,269.403
small20,0.0,0.119,0.001,0.213,1.4,4.891,329.401
small3,0.0,0.145,0.001,0.213,1.0,0.0,180.0
small4,0.0,0.121,0.001,0.201,1.6,7.978,256.605
small5,0.0,0.118,0.001,0.202,1.6,7.621,310.038
small6,0.0,0.078,0.001,0.208,1.2,2.363,206.669
small7,0.0,0.097,0.001,0.244,1.8,4.89,343.827
small8,0.0,0.096,0.001,0.216,1.6,11.082,207.208
small9,0.0,0.125,0.001,0.201,1.8,13.992,255.802
verySmall1,0.0,0.015,0.0,0.051,1.0,0.0,17.4
