instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.056,0.008,12.686,1.4,2.99,655.8
medium10,0.001,0.059,0.006,2.607,2.0,4.176,912.619
medium2,0.001,0.059,0.006,2.294,1.8,0.694,801.818
medium3,0.002,0.059,0.005,2.362,2.2,3.162,930.233
medium4,0.002,0.054,0.007,2.921,2.2,1.392,999.01
medium5,0.001,0.055,0.009,2.658,1.8,2.416,771.206
medium6,0.001,0.059,0.006,2.119,1.4,11.134,799.8
medium7,0.001,0.06,0.007,2.402,2.2,7.639,889.019
medium8,0.001,0.057,0.009,2.156,1.8,3.883,754.609
medium9,0.002,0.056,0.007,2.155,1.6,1.467,915.639
small1,0.0,0.112,0.001,0.219,1.2,0.84,207.402
small10,0.0,0.118,0.001,0.232,1.4,4.591,261.2
small11,0.0,0.114,0.001,0.208,1.6,2.677,331.013
small12,0.0,0.128,0.001,0.201,1.8,2.002,250.847
small13,0.0,0.115,0.001,0.298,1.8,37.511,259.216
small14,0.0,0.119,0.002,0.22,2.0,4.144,268.208
small15,0.0,0.076,0.001,0.211,1.2,1.154,163.2
small16,0.0,0.121,0.001,0.226,1.2,0.294,271.2
small17,0.0,0.11,0.001,0.208,1.4,2.507,345.277
small18,0.0,0.129,0.001,0.192,1.4,1.629,329.2
small19,0.0,0.11,0.002,0.245,1.0,0.0,89.0
small2,0.0,0.136,0.001,0.212,1.4,7.051,262.2
small20,0.0,0.103,0.001,0.213,1.0,0.0,274.8
small3,0.0,0.137,0.001,0.213,1.2,22.791,160.4
small4,0.0,0.13,0.001,0.201,1.6,13.183,158.809
small5,0.0,0.125,0.001,0.202,1.6,11.24,251.817
small6,0.0,0.088,0.001,0.208,1.2,1.803,233.462
small7,0.0,0.142,0.001,0.244,1.8,11.822,240.814
small8,0.0,0.098,0.001,0.216,1.0,0.0,146.2
small9,0.0,0.129,0.001,0.201,1.6,19.768,298.6
verySmall1,0.0,0.013,0.001,0.051,1.0,0.0,43.8
