instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.047,0.007,12.686,1.2,2.72,629.2
medium10,0.004,0.047,0.008,2.607,2.4,7.538,880.607
medium2,0.001,0.047,0.006,2.294,1.4,0.759,772.815
medium3,0.001,0.048,0.006,2.362,2.0,1.524,864.639
medium4,0.001,0.047,0.009,2.921,2.2,1.189,1011.813
medium5,0.001,0.049,0.008,2.658,1.8,7.123,805.601
medium6,0.001,0.046,0.005,2.119,2.2,6.774,891.2
medium7,0.001,0.047,0.007,2.402,2.4,8.404,892.421
medium8,0.002,0.047,0.009,2.156,2.2,5.1,770.001
medium9,0.001,0.05,0.008,2.155,1.4,1.951,831.231
small1,0.0,0.049,0.001,0.219,1.2,6.22,206.602
small10,0.0,0.036,0.001,0.232,1.6,2.714,255.012
small11,0.0,0.036,0.001,0.208,2.4,10.7,323.814
small12,0.0,0.025,0.001,0.201,1.8,3.827,268.469
small13,0.0,0.043,0.001,0.298,1.6,40.767,251.013
small14,0.0,0.038,0.001,0.22,2.0,10.607,225.438
small15,0.0,0.013,0.001,0.211,1.2,2.051,174.6
small16,0.0,0.043,0.003,0.226,1.6,6.84,270.233
small17,0.0,0.04,0.001,0.208,1.4,2.533,385.28
small18,0.001,0.046,0.002,0.192,1.6,0.719,317.8
small19,0.0,0.014,0.001,0.245,1.4,3.319,106.8
small2,0.0,0.029,0.001,0.212,1.6,7.623,225.8
small20,0.0,0.029,0.001,0.213,1.8,10.656,207.402
small3,0.0,0.047,0.001,0.213,1.2,8.462,165.2
small4,0.0,0.028,0.001,0.201,2.2,23.035,169.004
small5,0.0,0.028,0.001,0.202,1.6,5.885,305.6
small6,0.0,0.021,0.001,0.208,1.4,4.306,203.295
small7,0.0,0.069,0.003,0.244,1.2,0.82,232.883
small8,0.0,0.015,0.001,0.216,1.0,0.0,159.0
small9,0.0,0.038,0.001,0.201,1.6,3.73,293.6
verySmall1,0.0,0.011,0.0,0.051,1.0,0.0,42.6
