instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.05,0.008,12.686,2.4,19.684,577.4
medium10,0.001,0.046,0.007,2.607,2.2,6.588,591.6
medium2,0.001,0.046,0.006,2.294,3.4,8.846,636.401
medium3,0.001,0.05,0.007,2.362,2.2,5.524,692.003
medium4,0.001,0.045,0.007,2.921,2.0,5.273,714.408
medium5,0.001,0.046,0.006,2.658,1.2,0.312,670.602
medium6,0.001,0.045,0.007,2.119,1.6,4.929,620.0
medium7,0.001,0.044,0.007,2.402,2.2,5.078,765.816
medium8,0.001,0.048,0.006,2.156,2.2,6.56,812.827
medium9,0.001,0.046,0.008,2.155,2.0,6.126,738.006
small1,0.0,0.027,0.001,0.219,1.0,0.0,266.201
small10,0.0,0.017,0.001,0.232,1.2,14.878,124.8
small11,0.0,0.029,0.001,0.208,1.6,14.922,244.404
small12,0.0,0.023,0.001,0.201,2.0,34.416,182.216
small13,0.0,0.032,0.001,0.298,1.6,17.15,254.417
small14,0.0,0.041,0.001,0.22,1.8,5.526,193.211
small15,0.0,0.013,0.001,0.211,1.2,0.169,223.8
small16,0.0,0.028,0.001,0.226,1.2,5.591,200.6
small17,0.0,0.037,0.001,0.208,2.2,3.019,325.66
small18,0.002,0.027,0.001,0.192,1.4,8.108,225.8
small19,0.0,0.011,0.001,0.245,1.4,21.548,126.6
small2,0.0,0.021,0.001,0.212,1.8,12.322,229.6
small20,0.0,0.015,0.001,0.213,1.8,24.231,260.6
small3,0.0,0.035,0.001,0.213,2.4,40.441,187.004
small4,0.0,0.021,0.001,0.201,2.0,19.435,175.212
small5,0.0,0.035,0.001,0.202,1.6,34.704,201.6
small6,0.0,0.03,0.001,0.208,1.8,12.675,200.624
small7,0.0,0.025,0.001,0.244,1.4,1.737,141.6
small8,0.0,0.017,0.001,0.216,1.6,4.855,194.408
small9,0.0,0.024,0.001,0.201,1.8,40.526,258.8
verySmall1,0.0,0.013,0.0,0.051,1.0,0.0,37.8
