instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.001,0.057,0.008,12.686,1.4,4.983,555.6
medium10,0.001,0.055,0.007,2.607,1.4,5.489,542.601
medium2,0.001,0.058,0.008,2.294,3.0,12.236,592.203
medium3,0.003,0.055,0.007,2.362,2.2,8.45,647.602
medium4,0.001,0.057,0.007,2.921,1.8,0.958,714.808
medium5,0.003,0.054,0.006,2.658,1.4,1.963,642.816
medium6,0.003,0.054,0.006,2.119,1.8,7.209,601.0
medium7,0.001,0.057,0.007,2.402,1.8,3.819,744.216
medium8,0.001,0.056,0.007,2.156,1.6,3.497,733.634
medium9,0.001,0.059,0.007,2.155,1.6,4.556,747.006
small1,0.0,0.123,0.001,0.219,2.0,41.191,267.0
small10,0.0,0.106,0.001,0.232,2.2,32.405,140.8
small11,0.0,0.111,0.001,0.208,2.4,21.927,260.601
small12,0.0,0.104,0.001,0.201,2.2,19.657,210.216
small13,0.0,0.114,0.002,0.298,2.6,30.314,228.433
small14,0.0,0.11,0.001,0.22,2.2,13.204,190.217
small15,0.0,0.1,0.001,0.211,1.8,6.904,193.8
small16,0.0,0.122,0.001,0.226,1.0,0.0,216.8
small17,0.0,0.111,0.001,0.208,2.2,7.609,314.92
small18,0.0,0.104,0.002,0.192,1.6,22.368,213.4
small19,0.0,0.1,0.001,0.245,1.8,32.752,212.4
small2,0.0,0.102,0.001,0.212,1.4,6.808,245.404
small20,0.0,0.108,0.001,0.213,1.6,16.233,257.203
small3,0.0,0.115,0.002,0.213,1.8,37.709,198.8
small4,0.0,0.098,0.001,0.201,1.6,36.611,138.018
small5,0.0,0.123,0.001,0.202,2.2,34.316,219.4
small6,0.0,0.109,0.001,0.208,1.6,8.393,226.611
small7,0.0,0.102,0.001,0.244,1.2,10.683,177.602
small8,0.0,0.086,0.001,0.216,1.8,19.651,209.6
small9,0.0,0.093,0.001,0.201,3.0,22.818,254.603
verySmall1,0.0,0.021,0.0,0.051,1.0,0.0,11.2
