instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.034,1.76,0.076,13.084,1.0,0.0,546.6
medium10,0.027,1.78,0.093,2.578,2.4,6.538,853.205
medium2,0.03,1.86,0.076,2.343,2.6,4.313,655.205
medium3,0.034,1.867,0.059,2.384,2.4,3.908,728.63
medium4,0.024,1.754,0.097,2.973,2.4,3.128,885.804
medium5,0.026,1.734,0.096,2.707,2.2,5.432,700.6
medium6,0.03,1.799,0.069,2.271,1.2,0.272,733.8
medium7,0.033,1.839,0.073,2.474,4.6,5.226,842.806
medium8,0.036,1.779,0.111,2.188,2.8,4.609,708.402
medium9,0.03,1.78,0.097,2.2,2.2,1.672,812.209
small1,0.01,2.586,0.006,0.221,2.0,71.679,137.0
small10,0.009,2.133,0.016,0.233,1.4,11.865,216.4
small11,0.004,1.67,0.018,0.211,2.0,29.021,219.4
small12,0.013,2.086,0.017,0.214,2.4,27.392,199.8
small13,0.009,2.129,0.007,0.286,2.0,21.106,206.0
small14,0.004,1.797,0.01,0.225,2.8,15.897,200.21
small15,0.004,1.453,0.012,0.212,1.4,2.484,146.0
small16,0.01,2.078,0.008,0.228,1.0,0.0,194.2
small17,0.01,1.937,0.008,0.21,1.4,1.048,300.462
small18,0.004,2.428,0.022,0.191,2.0,3.985,271.0
small19,0.004,1.779,0.016,0.245,1.0,0.0,50.0
small2,0.009,2.481,0.008,0.208,1.6,1.616,191.4
small20,0.004,1.565,0.018,0.217,1.8,19.03,165.2
small3,0.009,2.693,0.013,0.201,1.6,19.953,136.8
small4,0.004,2.256,0.008,0.197,1.2,5.488,121.2
small5,0.01,2.213,0.023,0.205,2.2,15.547,268.209
small6,0.005,1.666,0.007,0.24,1.4,1.578,158.068
small7,0.009,2.965,0.007,0.283,1.0,0.0,198.8
small8,0.004,1.587,0.013,0.254,1.0,0.0,114.0
small9,0.009,2.306,0.007,0.233,2.6,17.728,213.8
verySmall1,0.001,0.319,0.002,0.059,1.0,0.0,10.2
