instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.027,5.178,0.081,13.084,1.0,0.0,558.0
medium10,0.025,4.412,0.104,2.578,3.0,2.815,878.604
medium2,0.034,7.291,0.075,2.343,1.8,2.473,647.204
medium3,0.034,7.775,0.065,2.384,2.4,7.808,712.021
medium4,0.021,3.269,0.109,2.973,3.0,4.689,843.802
medium5,0.034,2.949,0.108,2.707,1.6,4.443,688.4
medium6,0.033,5.51,0.086,2.271,1.4,2.052,711.6
medium7,0.032,5.225,0.091,2.474,3.8,4.728,818.405
medium8,0.047,3.243,0.14,2.188,2.4,5.339,692.6
medium9,0.048,3.631,0.114,2.2,3.0,1.266,828.01
small1,0.011,4.572,0.013,0.221,2.0,64.526,137.0
small10,0.011,3.965,0.013,0.233,1.6,4.145,224.0
small11,0.011,3.413,0.015,0.211,3.0,46.365,197.4
small12,0.011,4.165,0.008,0.214,2.8,21.282,188.2
small13,0.024,3.879,0.013,0.286,2.0,28.283,198.0
small14,0.01,3.892,0.01,0.225,2.6,17.314,194.41
small15,0.005,2.997,0.008,0.212,1.2,0.915,146.6
small16,0.01,3.785,0.014,0.228,1.4,0.463,202.8
small17,0.023,3.688,0.008,0.21,1.4,1.815,276.264
small18,0.01,4.416,0.008,0.191,1.8,2.288,275.4
small19,0.004,3.553,0.019,0.245,1.0,0.0,55.4
small2,0.01,4.382,0.007,0.208,1.0,0.0,179.4
small20,0.011,3.464,0.009,0.217,1.6,3.97,186.4
small3,0.012,4.58,0.009,0.201,2.0,18.343,137.0
small4,0.004,4.071,0.008,0.197,1.4,23.852,117.2
small5,0.012,4.037,0.022,0.205,1.6,4.301,283.01
small6,0.011,2.994,0.007,0.24,1.0,0.0,156.263
small7,0.018,4.655,0.006,0.283,1.0,0.0,210.4
small8,0.017,3.441,0.015,0.254,1.0,0.0,116.6
small9,0.011,4.165,0.007,0.233,2.2,24.806,215.4
verySmall1,0.001,0.366,0.002,0.059,1.0,0.0,10.2
