instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.022,2.52,0.064,13.084,1.2,0.402,658.4
medium10,0.019,1.663,0.071,2.578,3.2,2.357,1072.425
medium2,0.025,2.412,0.058,2.343,1.2,0.168,740.017
medium3,0.019,2.263,0.044,2.384,1.2,0.236,803.25
medium4,0.025,1.686,0.09,2.973,1.6,0.171,1103.016
medium5,0.022,1.569,0.075,2.707,2.2,8.434,742.8
medium6,0.028,1.78,0.043,2.271,3.2,10.781,827.0
medium7,0.025,2.181,0.059,2.474,1.8,2.357,900.432
medium8,0.025,1.635,0.098,2.188,1.6,1.256,794.007
medium9,0.021,1.612,0.088,2.2,3.4,1.668,882.836
small1,0.007,3.092,0.006,0.221,2.0,94.745,137.0
small10,0.007,2.784,0.007,0.233,1.0,0.0,241.0
small11,0.007,2.554,0.011,0.211,1.0,0.0,366.612
small12,0.007,2.745,0.011,0.214,2.4,7.634,211.038
small13,0.004,2.848,0.01,0.286,3.0,24.457,231.0
small14,0.005,2.569,0.011,0.225,2.8,16.254,223.609
small15,0.004,1.689,0.009,0.212,1.0,0.0,146.6
small16,0.004,2.424,0.01,0.228,1.0,0.0,191.2
small17,0.007,2.314,0.012,0.21,1.0,0.0,426.117
small18,0.007,2.901,0.014,0.191,1.0,0.0,293.0
small19,0.004,2.714,0.008,0.245,1.0,0.0,67.0
small2,0.004,3.033,0.009,0.208,2.0,5.958,230.0
small20,0.007,2.551,0.013,0.217,2.8,64.069,254.8
small3,0.007,3.016,0.011,0.201,1.0,0.0,162.4
small4,0.004,2.605,0.011,0.197,1.0,0.0,166.0
small5,0.004,2.651,0.01,0.205,2.2,8.439,301.024
small6,0.007,1.561,0.007,0.24,1.0,0.0,168.074
small7,0.004,2.469,0.013,0.283,1.0,0.0,234.0
small8,0.007,2.18,0.012,0.254,1.0,0.0,127.0
small9,0.008,2.763,0.008,0.233,2.4,19.568,214.4
verySmall1,0.004,0.34,0.003,0.059,1.0,0.0,10.0
