instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.029,1.681,0.068,13.084,1.2,1.922,425.8
medium10,0.026,1.675,0.076,2.578,1.6,1.49,494.2
medium2,0.027,1.683,0.078,2.343,2.4,11.323,484.6
medium3,0.028,1.75,0.079,2.384,4.4,8.939,485.4
medium4,0.022,1.7,0.089,2.973,2.8,10.85,594.0
medium5,0.025,1.708,0.077,2.707,1.8,0.787,533.2
medium6,0.027,2.068,0.07,2.271,1.6,6.418,524.4
medium7,0.018,1.732,0.073,2.474,3.4,7.408,572.8
medium8,0.028,1.695,0.068,2.188,3.6,5.586,648.002
medium9,0.034,1.695,0.071,2.2,3.4,9.594,587.6
small1,0.005,1.509,0.008,0.221,1.8,19.428,167.6
small10,0.004,1.368,0.013,0.233,1.2,7.475,87.4
small11,0.005,1.595,0.01,0.211,2.0,12.643,187.6
small12,0.006,1.668,0.008,0.214,1.6,3.25,138.2
small13,0.006,1.725,0.01,0.286,3.4,29.729,134.8
small14,0.005,1.721,0.013,0.225,2.8,15.789,126.0
small15,0.006,1.296,0.007,0.212,1.6,0.838,126.2
small16,0.005,1.706,0.011,0.228,1.2,0.488,142.2
small17,0.008,1.835,0.01,0.21,2.0,6.365,229.834
small18,0.008,1.622,0.008,0.191,1.2,7.287,143.8
small19,0.005,1.171,0.007,0.245,1.0,0.0,56.6
small2,0.007,1.648,0.011,0.208,2.2,4.895,184.8
small20,0.005,1.37,0.011,0.217,1.4,11.513,129.4
small3,0.004,1.751,0.008,0.201,1.2,7.5,108.2
small4,0.011,1.373,0.014,0.197,1.8,29.412,80.2
small5,0.004,1.788,0.008,0.205,2.2,24.212,141.2
small6,0.008,1.616,0.016,0.24,2.0,23.011,139.0
small7,0.008,1.509,0.011,0.283,1.4,1.718,115.2
small8,0.011,1.235,0.011,0.254,1.0,0.0,90.4
small9,0.005,1.414,0.008,0.233,1.6,4.091,202.2
verySmall1,0.005,0.398,0.002,0.059,1.0,0.0,0.8
