instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.022,2.143,0.073,13.084,1.4,0.77,548.6
medium10,0.021,3.303,0.058,2.578,3.2,8.541,652.0
medium2,0.018,3.405,0.06,2.343,3.0,16.863,595.0
medium3,0.025,5.47,0.046,2.384,2.4,5.687,634.013
medium4,0.02,2.405,0.084,2.973,2.6,4.947,693.201
medium5,0.024,2.155,0.069,2.707,2.0,4.947,622.4
medium6,0.026,3.62,0.049,2.271,1.2,0.342,620.4
medium7,0.021,3.219,0.062,2.474,2.6,6.817,630.808
medium8,0.019,2.271,0.093,2.188,2.0,2.762,631.0
medium9,0.023,2.451,0.078,2.2,2.6,4.952,708.003
small1,0.006,2.097,0.007,0.221,2.0,40.142,139.2
small10,0.006,2.135,0.009,0.233,1.2,0.219,145.8
small11,0.006,2.015,0.008,0.211,2.0,24.887,201.2
small12,0.005,2.206,0.008,0.214,3.0,20.957,163.4
small13,0.004,2.171,0.007,0.286,2.0,18.355,211.8
small14,0.007,2.326,0.01,0.225,1.6,4.665,177.011
small15,0.008,1.721,0.009,0.212,1.0,0.0,137.2
small16,0.004,2.235,0.008,0.228,1.2,0.106,181.6
small17,0.005,2.163,0.008,0.21,1.6,0.585,256.038
small18,0.007,2.365,0.009,0.191,1.4,3.245,193.4
small19,0.006,1.898,0.008,0.245,1.0,0.0,71.6
small2,0.006,2.335,0.008,0.208,2.0,7.513,191.6
small20,0.005,2.025,0.01,0.217,1.6,2.557,141.2
small3,0.004,2.407,0.009,0.201,1.6,17.858,104.4
small4,0.007,1.941,0.01,0.197,2.8,10.217,109.4
small5,0.004,2.79,0.011,0.205,1.8,7.166,202.0
small6,0.006,2.023,0.008,0.24,2.8,18.434,149.811
small7,0.005,2.375,0.008,0.283,1.0,0.0,167.8
small8,0.004,1.942,0.01,0.254,1.0,0.0,102.8
small9,0.005,2.134,0.007,0.233,1.6,0.52,221.0
verySmall1,0.003,0.211,0.002,0.059,1.0,0.0,10.2
