instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.028,1.941,0.098,13.084,1.0,0.0,555.4
medium10,0.029,1.943,0.081,2.578,2.2,8.098,671.2
medium2,0.031,1.965,0.087,2.343,3.2,22.757,604.8
medium3,0.043,1.971,0.071,2.384,2.8,5.607,631.628
medium4,0.038,1.95,0.095,2.973,2.4,3.907,690.2
medium5,0.029,1.94,0.11,2.707,1.8,7.683,641.6
medium6,0.038,1.971,0.078,2.271,1.6,6.374,619.0
medium7,0.03,2.006,0.1,2.474,3.2,6.895,660.404
medium8,0.029,1.957,0.131,2.188,2.8,6.848,660.8
medium9,0.044,1.96,0.104,2.2,2.8,2.181,744.404
small1,0.011,1.182,0.007,0.221,2.0,28.314,150.0
small10,0.006,0.96,0.008,0.233,1.6,12.76,123.6
small11,0.011,0.682,0.009,0.211,2.2,19.37,218.0
small12,0.004,0.691,0.015,0.214,3.2,14.885,162.6
small13,0.012,1.136,0.007,0.286,2.8,17.457,213.4
small14,0.012,0.888,0.022,0.225,1.6,3.953,152.009
small15,0.005,0.448,0.015,0.212,1.0,0.0,138.4
small16,0.004,1.164,0.014,0.228,1.4,3.303,186.8
small17,0.011,0.954,0.008,0.21,1.6,2.382,258.24
small18,0.013,1.124,0.015,0.191,1.4,4.905,197.4
small19,0.005,0.418,0.014,0.245,1.2,3.81,77.0
small2,0.005,1.015,0.015,0.208,1.8,8.947,202.4
small20,0.011,0.886,0.015,0.217,1.4,11.293,135.0
small3,0.011,1.272,0.008,0.201,1.2,1.94,126.2
small4,0.011,0.657,0.015,0.197,2.0,29.318,113.0
small5,0.004,0.729,0.015,0.205,2.2,8.55,198.0
small6,0.018,0.926,0.008,0.24,2.6,16.391,151.814
small7,0.005,2.158,0.007,0.283,1.4,4.071,171.4
small8,0.025,0.501,0.009,0.254,1.0,0.0,90.8
small9,0.018,0.927,0.013,0.233,1.8,11.64,221.6
verySmall1,0.008,0.259,0.002,0.059,1.0,0.0,10.4
