instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.034,3.109,0.08,13.084,1.2,1.57,439.8
medium10,0.031,3.143,0.081,2.578,1.0,0.0,461.6
medium2,0.025,3.175,0.084,2.343,2.4,10.314,487.8
medium3,0.024,3.442,0.078,2.384,2.4,9.371,513.2
medium4,0.031,3.231,0.09,2.973,3.4,5.787,583.4
medium5,0.041,2.927,0.094,2.707,1.4,1.176,515.0
medium6,0.033,2.833,0.108,2.271,1.0,0.0,496.8
medium7,0.025,3.104,0.084,2.474,2.4,8.402,580.6
medium8,0.024,3.037,0.08,2.188,4.2,7.579,637.0
medium9,0.036,3.166,0.102,2.2,3.2,9.292,602.201
small1,0.006,2.859,0.012,0.221,2.2,31.011,166.8
small10,0.014,2.76,0.016,0.233,1.0,0.0,107.0
small11,0.005,3.023,0.017,0.211,2.4,11.08,178.8
small12,0.005,3.149,0.012,0.214,2.8,14.987,140.6
small13,0.005,3.062,0.008,0.286,3.2,22.965,148.8
small14,0.005,3.183,0.008,0.225,2.2,24.085,112.8
small15,0.004,2.729,0.015,0.212,1.0,0.0,114.0
small16,0.004,3.122,0.008,0.228,1.0,0.0,147.8
small17,0.004,3.245,0.012,0.21,2.4,13.106,214.228
small18,0.005,3.0,0.012,0.191,1.6,9.493,141.6
small19,0.014,2.416,0.016,0.245,1.0,0.0,49.8
small2,0.005,2.966,0.008,0.208,1.8,3.247,188.4
small20,0.019,2.742,0.012,0.217,1.2,7.027,102.8
small3,0.009,3.202,0.012,0.201,2.0,3.199,121.8
small4,0.005,2.661,0.009,0.197,1.8,45.79,90.8
small5,0.01,3.129,0.012,0.205,2.0,12.42,130.6
small6,0.005,3.043,0.008,0.24,1.8,12.478,139.0
small7,0.004,2.744,0.017,0.283,1.2,1.026,104.0
small8,0.005,2.548,0.012,0.254,1.0,0.0,82.8
small9,0.01,2.63,0.008,0.233,1.8,13.455,189.4
verySmall1,0.002,0.417,0.002,0.059,1.0,0.0,0.6
