instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.03,2.55,0.092,13.084,1.0,0.0,552.8
medium10,0.036,2.426,0.098,2.578,1.2,0.971,805.001
medium2,0.043,3.126,0.072,2.343,2.0,2.476,635.408
medium3,0.028,3.461,0.062,2.384,2.8,6.02,704.217
medium4,0.033,2.269,0.102,2.973,2.6,3.529,850.202
medium5,0.031,2.185,0.102,2.707,1.6,1.492,727.6
medium6,0.04,2.531,0.074,2.271,1.8,2.626,681.2
medium7,0.024,2.569,0.076,2.474,4.6,4.632,848.206
medium8,0.032,2.237,0.116,2.188,3.2,4.444,699.801
medium9,0.032,2.274,0.103,2.2,2.6,2.6,789.809
small1,0.01,3.947,0.011,0.221,2.0,41.931,156.0
small10,0.009,3.491,0.012,0.233,1.6,12.599,208.6
small11,0.004,3.024,0.019,0.211,2.2,46.107,215.8
small12,0.01,3.614,0.013,0.214,3.0,16.921,182.201
small13,0.016,3.445,0.007,0.286,2.2,24.456,191.4
small14,0.004,3.35,0.025,0.225,3.0,14.306,200.01
small15,0.005,2.675,0.013,0.212,1.4,4.828,144.8
small16,0.009,3.359,0.013,0.228,1.2,1.485,199.4
small17,0.004,3.332,0.013,0.21,1.8,2.656,322.469
small18,0.005,3.917,0.009,0.191,1.6,1.993,273.0
small19,0.01,3.206,0.022,0.245,1.0,0.0,67.4
small2,0.004,3.987,0.012,0.208,1.8,7.184,182.2
small20,0.01,3.067,0.019,0.217,1.8,11.885,176.6
small3,0.004,4.033,0.009,0.201,1.4,19.22,140.2
small4,0.01,3.638,0.008,0.197,1.6,14.68,129.4
small5,0.01,3.635,0.024,0.205,1.8,3.473,275.619
small6,0.004,2.7,0.007,0.24,1.4,1.607,145.875
small7,0.004,4.119,0.006,0.283,1.0,0.0,214.0
small8,0.004,3.09,0.009,0.254,1.0,0.0,127.0
small9,0.005,3.771,0.012,0.233,2.6,17.723,219.2
verySmall1,0.002,0.372,0.002,0.059,1.0,0.0,10.0
