instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.02,1.535,0.054,13.084,1.0,0.0,639.2
medium10,0.024,1.462,0.073,2.578,3.8,1.345,1069.022
medium2,0.019,1.598,0.053,2.343,1.2,0.056,755.417
medium3,0.02,1.484,0.042,2.384,1.2,0.832,818.447
medium4,0.018,1.457,0.082,2.973,1.6,0.4,1087.217
medium5,0.02,1.424,0.07,2.707,2.4,6.585,744.0
medium6,0.02,1.508,0.042,2.271,2.6,9.364,821.6
medium7,0.023,1.573,0.053,2.474,2.0,3.84,902.628
medium8,0.022,1.484,0.091,2.188,1.8,0.957,815.807
medium9,0.017,1.457,0.079,2.2,2.2,0.912,888.229
small1,0.009,1.914,0.007,0.221,2.0,61.314,137.0
small10,0.004,1.622,0.007,0.233,1.0,0.0,241.0
small11,0.005,1.58,0.009,0.211,1.8,15.93,366.604
small12,0.006,1.526,0.009,0.214,2.6,8.202,211.038
small13,0.006,1.717,0.009,0.286,3.0,24.457,231.0
small14,0.006,1.358,0.015,0.225,2.6,21.383,220.009
small15,0.005,0.769,0.01,0.212,1.0,0.0,141.4
small16,0.008,1.277,0.011,0.228,1.0,0.0,200.0
small17,0.004,1.337,0.008,0.21,1.0,0.0,426.117
small18,0.004,1.771,0.01,0.191,1.0,0.0,293.0
small19,0.005,1.39,0.01,0.245,1.0,0.0,68.4
small2,0.004,1.849,0.011,0.208,2.0,6.923,227.8
small20,0.007,1.409,0.008,0.217,3.0,44.53,251.0
small3,0.007,1.994,0.016,0.201,1.0,0.0,162.8
small4,0.004,1.437,0.01,0.197,1.0,0.0,166.0
small5,0.004,1.574,0.012,0.205,2.0,7.285,301.027
small6,0.007,0.87,0.009,0.24,1.0,0.0,168.074
small7,0.007,1.489,0.012,0.283,1.4,2.353,219.4
small8,0.004,1.099,0.009,0.254,1.0,0.0,127.0
small9,0.008,1.361,0.008,0.233,2.6,21.795,207.4
verySmall1,0.001,0.264,0.002,0.059,1.0,0.0,10.0
