instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.024,2.28,0.103,13.084,1.4,0.247,564.6
medium10,0.052,2.296,0.091,2.578,2.4,9.765,650.8
medium2,0.046,2.336,0.085,2.343,2.6,32.434,533.0
medium3,0.024,2.437,0.088,2.384,2.0,5.236,619.01
medium4,0.037,2.299,0.099,2.973,3.2,5.14,677.8
medium5,0.047,2.256,0.112,2.707,1.4,2.713,618.8
medium6,0.037,2.347,0.077,2.271,1.2,5.301,600.8
medium7,0.038,2.388,0.102,2.474,2.8,7.579,655.211
medium8,0.048,2.315,0.127,2.188,3.4,4.678,657.8
medium9,0.039,2.328,0.116,2.2,2.6,1.734,728.408
small1,0.005,2.406,0.007,0.221,2.0,52.271,139.8
small10,0.005,2.491,0.007,0.233,1.4,5.089,159.8
small11,0.012,2.173,0.016,0.211,2.0,14.565,206.2
small12,0.005,2.539,0.01,0.214,2.8,18.546,149.2
small13,0.012,2.53,0.007,0.286,2.8,17.238,215.2
small14,0.011,2.585,0.01,0.225,2.2,9.849,158.206
small15,0.013,1.603,0.015,0.212,1.2,0.828,137.4
small16,0.005,2.8,0.015,0.228,1.2,0.102,190.8
small17,0.005,2.524,0.023,0.21,1.6,1.445,266.844
small18,0.004,2.961,0.008,0.191,1.2,0.097,193.6
small19,0.019,1.985,0.009,0.245,1.0,0.0,63.8
small2,0.005,2.898,0.009,0.208,1.0,0.0,196.6
small20,0.005,2.124,0.01,0.217,1.2,0.667,147.0
small3,0.004,2.88,0.012,0.201,1.2,0.606,121.6
small4,0.005,2.107,0.017,0.197,2.0,10.18,86.4
small5,0.012,2.827,0.023,0.205,1.4,0.482,198.0
small6,0.004,2.288,0.011,0.24,2.6,11.116,141.401
small7,0.005,3.166,0.008,0.283,1.2,2.564,174.2
small8,0.005,1.9,0.017,0.254,1.0,0.0,102.6
small9,0.004,2.561,0.017,0.233,2.4,4.908,232.0
verySmall1,0.002,0.371,0.002,0.059,1.0,0.0,10.0
