instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.035,1.801,0.069,13.084,1.2,0.287,539.8
medium10,0.016,1.953,0.065,2.578,3.0,17.556,650.0
medium2,0.027,1.935,0.057,2.343,3.2,8.628,601.0
medium3,0.025,2.622,0.05,2.384,2.2,6.836,630.617
medium4,0.029,1.818,0.07,2.973,1.8,2.156,631.0
medium5,0.027,2.494,0.077,2.707,1.8,5.551,610.6
medium6,0.024,1.968,0.057,2.271,1.4,3.817,627.6
medium7,0.026,1.935,0.062,2.474,3.2,8.628,646.804
medium8,0.031,1.833,0.089,2.188,2.4,7.202,617.4
medium9,0.028,2.04,0.079,2.2,2.2,3.748,707.803
small1,0.005,2.83,0.007,0.221,2.0,33.546,149.8
small10,0.006,3.024,0.009,0.233,1.2,0.816,136.6
small11,0.005,3.004,0.016,0.211,2.2,7.621,234.2
small12,0.012,3.493,0.01,0.214,2.6,26.35,157.8
small13,0.015,3.808,0.007,0.286,2.6,27.063,211.2
small14,0.015,4.85,0.015,0.225,2.2,3.273,165.607
small15,0.014,4.948,0.025,0.212,1.2,0.567,136.8
small16,0.025,11.103,0.009,0.228,1.2,2.247,186.4
small17,0.004,1.985,0.01,0.21,1.6,1.057,261.04
small18,0.006,2.246,0.008,0.191,1.6,12.02,191.6
small19,0.006,1.791,0.009,0.245,1.0,0.0,77.2
small2,0.004,2.189,0.01,0.208,1.4,1.294,201.8
small20,0.004,1.903,0.008,0.217,1.4,8.366,140.2
small3,0.006,2.264,0.009,0.201,1.4,2.861,118.4
small4,0.005,1.849,0.01,0.197,1.4,13.476,105.6
small5,0.006,2.211,0.01,0.205,1.6,5.056,196.2
small6,0.007,1.861,0.009,0.24,2.6,21.3,132.613
small7,0.006,2.206,0.008,0.283,1.8,4.216,182.8
small8,0.004,1.831,0.008,0.254,1.0,0.0,114.0
small9,0.005,2.032,0.007,0.233,1.8,6.82,217.0
verySmall1,0.002,0.213,0.002,0.059,1.0,0.0,10.2
