instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.024,2.151,0.078,13.084,1.8,2.863,434.2
medium10,0.029,2.202,0.083,2.578,1.4,3.344,467.6
medium2,0.027,2.122,0.089,2.343,1.6,12.166,482.6
medium3,0.035,2.23,0.081,2.384,3.6,14.42,504.8
medium4,0.029,2.333,0.07,2.973,2.6,5.93,586.4
medium5,0.028,2.09,0.069,2.707,1.2,0.532,530.0
medium6,0.027,2.1,0.076,2.271,1.4,0.808,484.8
medium7,0.024,2.129,0.082,2.474,3.6,14.996,617.4
medium8,0.027,2.146,0.08,2.188,4.0,7.044,609.8
medium9,0.036,2.161,0.082,2.2,3.4,8.299,598.801
small1,0.006,2.685,0.011,0.221,2.0,13.766,165.6
small10,0.004,2.539,0.011,0.233,1.4,2.693,108.2
small11,0.009,2.79,0.014,0.211,2.0,8.933,182.0
small12,0.005,2.955,0.011,0.214,2.0,13.254,133.4
small13,0.005,2.811,0.011,0.286,3.4,37.643,127.6
small14,0.013,2.936,0.011,0.225,2.6,9.604,129.2
small15,0.004,2.477,0.01,0.212,1.0,0.0,109.2
small16,0.008,2.903,0.012,0.228,1.0,0.0,164.2
small17,0.009,2.943,0.007,0.21,2.2,7.432,218.04
small18,0.004,2.839,0.008,0.191,1.4,8.447,175.8
small19,0.013,2.413,0.011,0.245,1.2,3.095,63.0
small2,0.004,2.674,0.012,0.208,2.4,4.426,193.6
small20,0.005,2.61,0.012,0.217,1.4,3.381,134.2
small3,0.009,2.964,0.011,0.201,2.0,13.582,100.4
small4,0.008,2.431,0.009,0.197,2.6,33.172,69.8
small5,0.009,2.911,0.008,0.205,2.0,7.636,143.4
small6,0.004,2.773,0.011,0.24,1.6,10.965,141.0
small7,0.01,2.519,0.008,0.283,1.2,5.556,93.6
small8,0.009,2.314,0.008,0.254,1.0,0.0,83.2
small9,0.009,2.446,0.008,0.233,1.6,4.053,208.8
verySmall1,0.002,0.418,0.002,0.059,1.0,0.0,0.8
