instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.018,1.458,0.066,13.084,1.8,2.08,486.8
medium10,0.029,1.431,0.063,2.578,1.2,0.4,486.8
medium2,0.024,1.443,0.093,2.343,2.8,16.264,478.8
medium3,0.026,1.447,0.062,2.384,3.0,11.984,518.0
medium4,0.022,1.45,0.068,2.973,3.0,9.45,595.0
medium5,0.023,1.44,0.08,2.707,1.6,6.762,536.0
medium6,0.022,1.446,0.078,2.271,1.4,1.975,508.8
medium7,0.018,1.634,0.067,2.474,2.8,12.302,597.0
medium8,0.02,1.619,0.066,2.188,2.6,5.32,624.002
medium9,0.026,1.475,0.097,2.2,2.6,12.439,589.001
small1,0.005,0.685,0.008,0.221,2.2,18.019,163.0
small10,0.006,0.373,0.01,0.233,1.2,15.952,98.2
small11,0.006,0.56,0.013,0.211,1.4,4.877,197.6
small12,0.005,0.489,0.01,0.214,2.4,18.023,149.2
small13,0.005,0.693,0.008,0.286,3.0,23.071,150.8
small14,0.011,0.591,0.008,0.225,3.0,18.974,139.2
small15,0.006,0.252,0.009,0.212,1.0,0.0,101.0
small16,0.006,0.596,0.008,0.228,1.0,0.0,154.4
small17,0.011,0.716,0.007,0.21,2.6,6.697,239.017
small18,0.008,0.568,0.014,0.191,1.4,11.669,146.0
small19,0.01,0.251,0.01,0.245,1.2,4.941,65.2
small2,0.008,0.517,0.011,0.208,2.2,3.165,187.6
small20,0.005,0.478,0.01,0.217,1.4,8.457,129.4
small3,0.01,0.797,0.01,0.201,2.0,31.309,101.2
small4,0.005,0.364,0.01,0.197,2.6,14.442,86.8
small5,0.006,0.59,0.008,0.205,1.2,1.34,159.0
small6,0.009,0.561,0.01,0.24,1.6,12.682,144.0
small7,0.008,0.519,0.009,0.283,1.2,0.488,104.6
small8,0.007,0.379,0.01,0.254,1.0,0.0,101.2
small9,0.01,0.473,0.009,0.233,2.8,10.052,201.4
verySmall1,0.002,0.259,0.002,0.059,1.0,0.0,0.2
