instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.023,1.108,0.089,13.084,1.0,0.0,656.8
medium10,0.017,0.975,0.064,2.578,3.8,1.878,1072.017
medium2,0.025,0.983,0.05,2.343,1.8,0.592,743.417
medium3,0.02,0.954,0.039,2.384,1.4,0.297,754.64
medium4,0.016,0.966,0.074,2.973,2.2,1.045,1104.613
medium5,0.02,0.939,0.065,2.707,2.0,8.945,749.0
medium6,0.016,0.951,0.041,2.271,2.4,12.601,826.6
medium7,0.017,0.993,0.05,2.474,2.6,4.701,909.226
medium8,0.018,0.976,0.087,2.188,1.4,0.716,800.008
medium9,0.018,0.979,0.078,2.2,2.0,0.471,873.23
small1,0.006,1.33,0.007,0.221,1.6,34.19,139.401
small10,0.006,0.786,0.007,0.233,1.0,0.0,241.0
small11,0.004,0.662,0.009,0.211,2.0,21.282,366.601
small12,0.005,0.453,0.01,0.214,2.0,17.374,211.038
small13,0.006,1.035,0.009,0.286,3.0,24.457,231.0
small14,0.005,0.353,0.014,0.225,2.6,20.27,225.409
small15,0.004,0.196,0.009,0.212,1.0,0.0,141.4
small16,0.005,0.364,0.012,0.228,1.0,0.0,191.2
small17,0.006,0.616,0.01,0.21,1.0,0.0,426.117
small18,0.008,0.693,0.01,0.191,1.0,0.0,282.2
small19,0.004,0.253,0.012,0.245,1.0,0.0,67.0
small2,0.005,0.676,0.007,0.208,2.0,13.628,214.6
small20,0.005,0.481,0.011,0.217,3.0,44.53,251.0
small3,0.006,0.914,0.013,0.201,1.0,0.0,162.4
small4,0.005,0.485,0.009,0.197,1.0,0.0,166.0
small5,0.009,0.289,0.01,0.205,2.2,10.161,301.024
small6,0.008,0.308,0.008,0.24,1.0,0.0,168.074
small7,0.006,1.049,0.01,0.283,1.2,1.176,193.8
small8,0.004,0.274,0.012,0.254,1.0,0.0,121.6
small9,0.005,0.406,0.008,0.233,2.6,21.418,201.0
verySmall1,0.002,0.239,0.002,0.059,1.0,0.0,10.0
