instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.022,1.436,0.075,13.084,1.0,0.0,548.4
medium10,0.023,1.451,0.086,2.578,2.8,1.793,938.405
medium2,0.026,1.479,0.071,2.343,1.8,2.287,614.604
medium3,0.03,1.455,0.059,2.384,2.6,4.121,705.626
medium4,0.024,1.441,0.094,2.973,2.4,1.39,867.803
medium5,0.027,1.434,0.093,2.707,1.8,5.59,709.4
medium6,0.031,1.456,0.062,2.271,2.0,2.395,745.4
medium7,0.028,1.497,0.071,2.474,3.8,4.535,855.405
medium8,0.03,1.472,0.099,2.188,3.2,2.207,689.601
medium9,0.027,1.462,0.091,2.2,1.8,1.112,790.007
small1,0.004,1.598,0.01,0.221,1.8,80.814,139.201
small10,0.009,1.017,0.008,0.233,1.6,10.17,206.8
small11,0.005,0.632,0.02,0.211,2.2,35.003,238.4
small12,0.004,0.537,0.008,0.214,3.4,14.209,187.201
small13,0.009,1.09,0.007,0.286,2.6,23.25,199.4
small14,0.008,0.469,0.014,0.225,2.6,15.003,195.61
small15,0.009,0.378,0.016,0.212,1.2,1.019,144.2
small16,0.013,0.731,0.012,0.228,1.2,1.497,190.8
small17,0.009,0.893,0.008,0.21,2.2,1.622,316.686
small18,0.01,0.915,0.013,0.191,1.8,1.107,275.4
small19,0.008,0.524,0.007,0.245,1.0,0.0,57.6
small2,0.009,1.03,0.012,0.208,1.4,1.532,179.8
small20,0.009,0.558,0.013,0.217,1.8,26.07,159.2
small3,0.009,1.377,0.02,0.201,2.0,9.317,133.6
small4,0.005,0.922,0.008,0.197,2.2,15.014,118.4
small5,0.009,0.515,0.013,0.205,2.0,3.497,300.412
small6,0.005,0.875,0.011,0.24,1.2,0.913,148.878
small7,0.005,2.167,0.007,0.283,1.2,0.269,196.8
small8,0.009,0.397,0.013,0.254,1.0,0.0,123.4
small9,0.008,1.007,0.011,0.233,2.4,16.45,215.8
verySmall1,0.002,0.223,0.002,0.059,1.0,0.0,10.0
