instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.024,6.01,0.06,13.084,1.0,0.0,671.2
medium10,0.027,2.909,0.075,2.578,3.2,2.328,993.032
medium2,0.029,5.871,0.063,2.343,1.2,0.187,771.416
medium3,0.021,5.364,0.043,2.384,1.0,0.0,765.042
medium4,0.027,2.279,0.097,2.973,2.2,0.479,1111.419
medium5,0.025,2.011,0.079,2.707,2.2,10.229,727.6
medium6,0.016,3.812,0.045,2.271,2.8,15.125,818.8
medium7,0.025,4.804,0.06,2.474,1.8,0.904,906.435
medium8,0.03,2.403,0.112,2.188,1.2,0.624,782.807
medium9,0.022,2.306,0.092,2.2,3.6,1.313,886.24
small1,0.004,3.474,0.006,0.221,2.0,61.314,137.0
small10,0.008,3.136,0.01,0.233,1.0,0.0,241.0
small11,0.008,2.855,0.009,0.211,1.2,0.734,380.412
small12,0.008,3.091,0.011,0.214,3.0,9.342,211.038
small13,0.012,3.187,0.01,0.286,3.0,24.457,231.0
small14,0.004,2.941,0.013,0.225,2.6,21.58,220.009
small15,0.004,1.899,0.013,0.212,1.0,0.0,141.4
small16,0.007,2.646,0.012,0.228,1.0,0.0,200.0
small17,0.005,2.587,0.008,0.21,1.0,0.0,426.117
small18,0.008,3.201,0.008,0.191,1.0,0.0,293.0
small19,0.004,2.951,0.008,0.245,1.0,0.0,67.0
small2,0.007,3.398,0.011,0.208,2.0,4.688,232.2
small20,0.004,2.948,0.008,0.217,2.6,83.607,258.6
small3,0.008,3.444,0.012,0.201,1.0,0.0,157.0
small4,0.005,2.983,0.014,0.197,1.0,0.0,166.0
small5,0.008,2.981,0.01,0.205,2.0,7.285,301.027
small6,0.008,1.72,0.007,0.24,1.0,0.0,168.074
small7,0.008,2.748,0.008,0.283,1.0,0.0,234.0
small8,0.008,2.479,0.015,0.254,1.0,0.0,127.0
small9,0.005,3.043,0.008,0.233,2.4,24.497,210.8
verySmall1,0.002,0.326,0.002,0.059,1.0,0.0,10.0
